item_id,scan_id,subgraph_id,subject_id,object_id,subject_label,object_label,predicate_label,surface_type,surface_normal_class,min_point_distance_m,near_contact_point_count,contact_patch_score,floor_clearance_m,floor_or_table_supported,mechanism_label,observability_label,evidence_sufficient,confidence,notes
attachment_v2_0001,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_4,25,1,heater,floor,connected to,floor,horizontal_up,0.0,153,1.0,1.7248255235010765,False,,,,,
attachment_v2_0002,752cc5a3-920c-26f5-8ff3-49518eff94c6,752cc5a3-920c-26f5-8ff3-49518eff94c6_1,63,1,heater,floor,connected to,floor,horizontal_up,0.0,78,1.0,2.3082761024685103,False,,,,,
attachment_v2_0003,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_6,34,1,radiator,floor,connected to,floor,horizontal_up,0.0,92,1.0,1.637003961339535,False,,,,,
attachment_v2_0004,d7d40d62-7a5d-2b36-955e-86a394caeabb,d7d40d62-7a5d-2b36-955e-86a394caeabb_8,51,1,heater,floor,connected to,floor,horizontal_up,0.0,20,0.9,4.34501161939264,False,,,,,
attachment_v2_0005,fcf66db2-622d-291c-8493-4f2517282f3f,fcf66db2-622d-291c-8493-4f2517282f3f_6,18,1,radiator,floor,connected to,floor,horizontal_up,0.0,74,1.0,3.37440836473672,False,,,,,
attachment_v2_0006,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_4,25,82,heater,pillow,connected to,unknown,slanted,1.384779,0,0.0,1.7248255235010765,False,,,,,
attachment_v2_0007,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_4,25,48,heater,wall,connected to,wall,vertical,0.0,605,1.0,1.7248255235010765,False,,,,,
attachment_v2_0008,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0_2,62,1,heater,floor,connected to,floor,horizontal_up,0.853056,0,0.0,1.8286142526371414,True,,,,,
attachment_v2_0009,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0_2,62,70,heater,box,connected to,unknown,slanted,0.403905,0,0.0,1.8286142526371414,True,,,,,
attachment_v2_0010,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0_2,62,6,heater,wall,connected to,wall,vertical,0.0,95,1.0,1.8286142526371414,True,,,,,
attachment_v2_0011,752cc5a3-920c-26f5-8ff3-49518eff94c6,752cc5a3-920c-26f5-8ff3-49518eff94c6_1,63,85,heater,bag,connected to,unknown,vertical,0.41799,0,0.0,2.3082761024685103,False,,,,,
attachment_v2_0012,752cc5a3-920c-26f5-8ff3-49518eff94c6,752cc5a3-920c-26f5-8ff3-49518eff94c6_1,63,17,heater,wall,connected to,wall,vertical,0.0,106,1.0,2.3082761024685103,False,,,,,
attachment_v2_0013,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_6,34,70,radiator,bag,connected to,unknown,horizontal_up,1.218254,0,0.0,1.637003961339535,False,,,,,
attachment_v2_0014,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_6,34,21,radiator,wall,connected to,wall,vertical,0.0,105,1.0,1.637003961339535,False,,,,,
attachment_v2_0015,d7d40d62-7a5d-2b36-955e-86a394caeabb,d7d40d62-7a5d-2b36-955e-86a394caeabb_8,51,38,heater,trash can,connected to,unknown,slanted,2.352739,0,0.0,4.34501161939264,False,,,,,
attachment_v2_0016,d7d40d62-7a5d-2b36-955e-86a394caeabb,d7d40d62-7a5d-2b36-955e-86a394caeabb_8,51,49,heater,wall,connected to,wall,vertical,0.0,123,1.0,4.34501161939264,False,,,,,
attachment_v2_0017,fcf66db2-622d-291c-8493-4f2517282f3f,fcf66db2-622d-291c-8493-4f2517282f3f_6,18,37,radiator,box,connected to,unknown,horizontal_down,0.72113,0,0.0,3.37440836473672,False,,,,,
attachment_v2_0018,fcf66db2-622d-291c-8493-4f2517282f3f,fcf66db2-622d-291c-8493-4f2517282f3f_6,18,6,radiator,wall,connected to,wall,vertical,0.0,67,1.0,3.37440836473672,False,,,,,
attachment_v2_0019,0cac75b1-8d6f-2d13-8c17-9099db8915bc,0cac75b1-8d6f-2d13-8c17-9099db8915bc_1,70,1,wall,floor,attached to,floor,horizontal_up,0.556306,0,0.0,1.7603865792396276,False,,,,,
attachment_v2_0020,0cac75b1-8d6f-2d13-8c17-9099db8915bc,0cac75b1-8d6f-2d13-8c17-9099db8915bc_3,38,1,wall,floor,attached to,floor,horizontal_up,3.28962,0,0.0,3.9569370022883037,False,,,,,
attachment_v2_0021,0cac75b1-8d6f-2d13-8c17-9099db8915bc,0cac75b1-8d6f-2d13-8c17-9099db8915bc_8,31,1,wall,floor,attached to,floor,horizontal_up,0.492184,0,0.0,0.9530853689813557,False,,,,,
attachment_v2_0022,0cac762b-8d6f-2d13-8de2-832a3c07864b,0cac762b-8d6f-2d13-8de2-832a3c07864b_1,77,1,wall,floor,attached to,floor,horizontal_up,1.900458,0,0.0,6.196732459486893,False,,,,,
attachment_v2_0023,0f2f271b-b736-2f71-8f3a-e9265463abcb,0f2f271b-b736-2f71-8f3a-e9265463abcb_2,12,1,wall,floor,attached to,floor,horizontal_up,0.510173,0,0.0,2.5489633516578953,False,,,,,
attachment_v2_0024,1c211546-f201-2d25-862b-6323518ec6e1,1c211546-f201-2d25-862b-6323518ec6e1_4,17,1,wall,floor,attached to,floor,horizontal_up,0.957558,0,0.0,2.416736011275164,False,,,,,
attachment_v2_0025,1d233ffc-e280-2b1a-8c3a-af74ca2b0cea,1d233ffc-e280-2b1a-8c3a-af74ca2b0cea_5,25,1,wall,floor,attached to,floor,horizontal_up,0.762634,0,0.0,3.20037583779844,False,,,,,
attachment_v2_0026,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_1,3,1,wall,floor,attached to,floor,horizontal_up,0.880807,0,0.0,2.89428072953063,False,,,,,
attachment_v2_0027,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_4,25,1,wall,floor,attached to,floor,horizontal_up,1.636261,0,0.0,3.9972482665926865,False,,,,,
attachment_v2_0028,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_4,56,1,wall,floor,attached to,floor,horizontal_up,0.894373,0,0.0,3.284005350137696,False,,,,,
attachment_v2_0029,20c993af-698f-29c5-84b2-972451f94cfb,20c993af-698f-29c5-84b2-972451f94cfb_10,46,1,wall,floor,attached to,floor,horizontal_up,1.981663,0,0.0,1.8050963570798981,True,,,,,
attachment_v2_0030,20c993af-698f-29c5-84b2-972451f94cfb,20c993af-698f-29c5-84b2-972451f94cfb_3,35,1,wall,floor,attached to,floor,horizontal_up,0.963412,0,0.0,1.8478285688407299,True,,,,,
attachment_v2_0031,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_8,4,1,wall,floor,attached to,floor,horizontal_up,0.531413,0,0.0,2.107517882698261,False,,,,,
attachment_v2_0032,4e858ca1-fd93-2cb4-84b6-490997979830,4e858ca1-fd93-2cb4-84b6-490997979830_2,81,1,wall,floor,attached to,floor,horizontal_up,0.62943,0,0.0,7.818235049989877,False,,,,,
attachment_v2_0033,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0_4,13,1,wall,floor,attached to,floor,horizontal_up,0.5035,0,0.0,0.8019337855896183,False,,,,,
attachment_v2_0034,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_1,10,1,wall,floor,attached to,floor,horizontal_up,0.484937,0,0.0,1.295229642750088,False,,,,,
attachment_v2_0035,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_7,41,1,wall,floor,attached to,floor,horizontal_up,0.397358,0,0.0,2.010340205652009,False,,,,,
attachment_v2_0036,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_8,15,1,wall,floor,attached to,floor,horizontal_up,0.680349,0,0.0,2.0003896736169198,False,,,,,
attachment_v2_0037,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_8,4,1,wall,floor,attached to,floor,horizontal_up,0.547636,0,0.0,1.0191924402727865,False,,,,,
attachment_v2_0038,baf0a8f0-26d4-2033-8948-52ae41fdd30f,baf0a8f0-26d4-2033-8948-52ae41fdd30f_3,4,1,wall,floor,attached to,floor,horizontal_up,0.791052,0,0.0,2.121451809812574,False,,,,,
attachment_v2_0039,baf0a8f0-26d4-2033-8948-52ae41fdd30f,baf0a8f0-26d4-2033-8948-52ae41fdd30f_5,44,1,wall,floor,attached to,floor,horizontal_up,0.438462,0,0.0,2.2662247533137827,False,,,,,
attachment_v2_0040,baf0a8f0-26d4-2033-8948-52ae41fdd30f,baf0a8f0-26d4-2033-8948-52ae41fdd30f_6,26,1,wall,floor,attached to,floor,horizontal_up,0.524479,0,0.0,0.9013733075916233,False,,,,,
attachment_v2_0041,cf00577e-b8f0-2aa8-8751-be34df30341f,cf00577e-b8f0-2aa8-8751-be34df30341f_9,11,1,wall,floor,attached to,floor,horizontal_up,0.931949,0,0.0,2.445482961747285,False,,,,,
attachment_v2_0042,d7d40d62-7a5d-2b36-955e-86a394caeabb,d7d40d62-7a5d-2b36-955e-86a394caeabb_3,8,1,wall,floor,attached to,floor,horizontal_up,0.350891,0,0.0,4.934973303319748,False,,,,,
attachment_v2_0043,f62fd5f8-9a3f-2f44-8b1e-1289a3a61e26,f62fd5f8-9a3f-2f44-8b1e-1289a3a61e26_2,5,1,wall,floor,attached to,floor,horizontal_up,0.351969,0,0.0,0.8442001271682449,True,,,,,
attachment_v2_0044,fcf66db2-622d-291c-8493-4f2517282f3f,fcf66db2-622d-291c-8493-4f2517282f3f_5,17,1,wall,floor,attached to,floor,horizontal_up,0.520031,0,0.0,4.336043383473789,False,,,,,
attachment_v2_0045,fcf66dba-622d-291c-8537-1ab5313bc52a,fcf66dba-622d-291c-8537-1ab5313bc52a_3,14,1,wall,floor,attached to,floor,horizontal_up,1.270376,0,0.0,1.5552957750862837,False,,,,,
attachment_v2_0046,feefd90b-9d00-2ce5-8119-b936443cc39b,feefd90b-9d00-2ce5-8119-b936443cc39b_1,14,1,wall,floor,attached to,floor,horizontal_up,0.404558,0,0.0,1.7750847116436173,False,,,,,
attachment_v2_0047,feefd90b-9d00-2ce5-8119-b936443cc39b,feefd90b-9d00-2ce5-8119-b936443cc39b_2,18,1,wall,floor,attached to,floor,horizontal_up,0.515781,0,0.0,1.9089584801267838,False,,,,,
attachment_v2_0048,feefd90b-9d00-2ce5-8119-b936443cc39b,feefd90b-9d00-2ce5-8119-b936443cc39b_6,17,1,wall,floor,attached to,floor,horizontal_up,0.800628,0,0.0,2.255042549497207,False,,,,,
attachment_v2_0049,0cac7578-8d6f-2d13-8c2d-bfa7a04f8af3,0cac7578-8d6f-2d13-8c2d-bfa7a04f8af3_3,3,11,wall,bench,attached to,furniture,horizontal_up,0.0,30,1.0,1.932926982804514,False,,,,,
attachment_v2_0050,0cac7578-8d6f-2d13-8c2d-bfa7a04f8af3,0cac7578-8d6f-2d13-8c2d-bfa7a04f8af3_4,39,8,wall,sofa,attached to,furniture,horizontal_up,0.0,47,1.0,2.9633268099143986,False,,,,,
attachment_v2_0051,0cac7578-8d6f-2d13-8c2d-bfa7a04f8af3,0cac7578-8d6f-2d13-8c2d-bfa7a04f8af3_6,15,16,wall,shelf,attached to,furniture,vertical,0.0,74,1.0,1.8850384027426639,False,,,,,
attachment_v2_0052,0cac75b1-8d6f-2d13-8c17-9099db8915bc,0cac75b1-8d6f-2d13-8c17-9099db8915bc_8,31,32,wall,mirror,attached to,fixture,vertical,0.0,284,1.0,0.9530853689813557,False,,,,,
attachment_v2_0053,0cac75ce-8d6f-2d13-8cf1-add4e795b9b0,0cac75ce-8d6f-2d13-8cf1-add4e795b9b0_4,8,9,wall,mirror,attached to,fixture,vertical,0.0,213,1.0,0.0,False,,,,,
attachment_v2_0054,0cac762b-8d6f-2d13-8de2-832a3c07864b,0cac762b-8d6f-2d13-8de2-832a3c07864b_10,34,33,wall,wardrobe,attached to,furniture,vertical,0.0,22,0.94,4.058203326585365,False,,,,,
attachment_v2_0055,0cac762b-8d6f-2d13-8de2-832a3c07864b,0cac762b-8d6f-2d13-8de2-832a3c07864b_10,65,33,wall,wardrobe,attached to,furniture,vertical,0.0,56,1.0,3.9818436647597566,False,,,,,
attachment_v2_0056,0cac762b-8d6f-2d13-8de2-832a3c07864b,0cac762b-8d6f-2d13-8de2-832a3c07864b_1,3,14,wall,curtain,attached to,fixture,vertical,0.0,97,1.0,3.557872490859259,False,,,,,
attachment_v2_0057,0f2f2717-b736-2f71-8d6a-28817c01a17f,0f2f2717-b736-2f71-8d6a-28817c01a17f_6,2,4,wall,wall,attached to,wall,vertical,0.0,90,1.0,1.368907989593187,False,,,,,
attachment_v2_0058,0f2f2717-b736-2f71-8d6a-28817c01a17f,0f2f2717-b736-2f71-8d6a-28817c01a17f_6,4,2,wall,wall,attached to,wall,vertical,0.0,128,1.0,2.148990535007268,False,,,,,
attachment_v2_0059,0f2f271b-b736-2f71-8f3a-e9265463abcb,0f2f271b-b736-2f71-8f3a-e9265463abcb_2,12,14,wall,window,attached to,wall,vertical,0.0,310,1.0,2.5489633516578953,False,,,,,
attachment_v2_0060,0f2f271b-b736-2f71-8f3a-e9265463abcb,0f2f271b-b736-2f71-8f3a-e9265463abcb_6,2,3,wall,cabinet,attached to,furniture,vertical,0.0,165,1.0,1.3681690553016548,False,,,,,
attachment_v2_0061,0f2f271b-b736-2f71-8f3a-e9265463abcb,0f2f271b-b736-2f71-8f3a-e9265463abcb_6,8,2,wall,wall,attached to,wall,vertical,0.0,85,1.0,1.993121347858974,False,,,,,
attachment_v2_0062,10b17971-3938-2467-8a86-2b42613aa7ec,10b17971-3938-2467-8a86-2b42613aa7ec_1,8,9,wall,picture,attached to,fixture,vertical,0.0,69,1.0,1.999267292938479,False,,,,,
attachment_v2_0063,10b17971-3938-2467-8a86-2b42613aa7ec,10b17971-3938-2467-8a86-2b42613aa7ec_7,2,26,wall,sofa,attached to,furniture,horizontal_up,0.0,93,1.0,2.4116975336356474,False,,,,,
