audit_id,sufficient,subject_points,object_points,pair_scale_m,center_dz_norm,bbox_gap_norm,xy_bbox_gap_norm,xy_overlap_ratio,local_object_points,support_gap_norm,surface_p02_norm,surface_p10_norm,subject_vertical_aspect
PV-0001,True,127,201,1.0146680227097455,-0.2812092168214729,0.31109929345240783,0.26057783834943427,0.0,0,,0.38640936992386093,0.4096372244604091,1.1481544335107827
PV-0002,True,1800,582,1.9521554737092033,-0.5028569769265361,0.0,0.0,1.0,582,-0.9937733065460677,0.0,0.01465676144678711,1.722109516450782
PV-0003,True,1800,1800,5.544681125030699,-0.20026760330493346,0.0,0.0,0.5191065260605632,1007,-0.4212988893905178,0.011014361469257548,0.042307465963354496,0.08286215139442234
PV-0004,True,184,1800,4.037015019084797,0.1585329747287118,0.09060684646224668,0.0,1.0,2,,0.13773373559788005,0.17104052310777326,0.5576638095238093
PV-0005,True,504,1300,2.1255715395524306,0.371600524989301,0.1327396583694427,0.0,1.0,0,,0.27065242767292075,0.3393838511593403,0.599867237189143
PV-0006,True,237,185,0.6165463065691874,-1.6078694972909642,1.873872680657467,1.4526416708989611,0.0,0,,2.218499604157215,2.2686191720108573,0.8518469408834484
PV-0007,True,73,172,0.4235493843986939,4.237900150765832,3.935158979488319,0.6662791643634386,0.0,0,,4.102068034103436,4.143969752742199,0.44857967032967005
PV-0008,True,1800,1800,4.818600494679432,0.2285580639474177,0.0,0.0,0.7368674654781714,284,-0.00830116546166609,0.005514571275562666,0.015932765063644702,0.6631365505412693
PV-0009,True,135,198,1.0330211041513309,-0.30042755056293213,0.2904625589421033,0.24018154034116704,0.0,0,,0.3780419939771874,0.3927325409982467,1.111302258529553
PV-0010,True,35,1800,0.5673146178143522,0.6345685245815511,0.704640344427101,0.6863816292434985,0.0,0,,0.8159994450778488,0.971269598220305,1.8018667339363554
PV-0011,True,50,209,0.40806092134616445,1.7154301315861096,1.7890892172317792,1.7206451625096304,0.0,0,,1.9206034993265562,2.006945209011449,3.2381095572477823
PV-0012,True,1800,1800,2.225429975590721,-1.16407032726894,0.6290919127340243,0.0,0.028334232398214042,197,-1.8666365805993685,0.6759393681369759,0.703877057434288,2.864302852831907
PV-0013,True,1800,119,2.941027291530238,-0.2049297542174145,0.23990387942625063,0.20401952804994283,0.0,0,,0.36099555074576833,0.3913207186652822,0.052274924222979836
PV-0014,True,346,1714,3.0066118152314045,0.033260030275076784,0.019956018165046073,0.019956018165046073,0.0,66,-0.1022096362567338,0.012213129170895157,0.09335740517952135,0.6289232608695637
PV-0015,True,154,1800,0.9546578253820228,1.5921935164484151,1.025471822438837,0.0,1.0,540,1.0399388698277516,1.015957868486369,1.0431341984052422,0.29277033402528796
PV-0016,True,719,582,1.2855177488036422,-0.0876121703530079,0.017307579005195483,0.017307579005195483,0.0,24,-0.5295373017086041,0.04844404678464269,0.08182171991278392,0.4319869348360757
PV-0017,True,170,160,0.7591532582417391,-0.019853039997360652,0.008567703463546269,0.008567703463546269,0.0,0,,0.0979730288351949,0.17679760112780216,0.7436911995224974
PV-0018,True,208,1800,3.0566192430508177,0.3337020148384383,0.25496783800331624,0.0,0.15193319801149857,25,0.26326694168058057,0.2825488944855972,0.30902125260800223,0.8897470004404241
PV-0019,True,122,1800,4.646228896808149,0.12601886669901982,0.07841326979182696,0.0,1.0,8,,0.10176479920760766,0.13538365828374518,0.42120329888712243
PV-0020,True,1800,1247,4.9545621304513086,-0.08339102207652908,0.04649916459499813,0.0,1.0,1247,-0.16909748590107695,0.06942806778308873,0.08106616902305942,0.024841307155061595
PV-0021,True,893,865,1.8121237678877704,-0.04414709492677137,0.0,0.0,0.006689347855241321,94,-0.43507844992231715,0.0812174700226173,0.12321447088696298,0.35184021482154204
PV-0022,True,955,346,1.227453674275529,-0.11405725766606319,0.31974815723755606,0.31974815723755606,0.0,0,,0.40757683695173264,0.4542999491659077,2.271857070331584
PV-0023,True,439,111,1.0704557727584718,-0.42972349881828353,0.0,0.0,0.793227481267348,110,-1.0137481880298558,0.10288828599102046,0.12873819661819277,0.7916378664827756
PV-0024,True,1737,171,2.8905741713311177,0.5068245660430006,0.4451341372802325,0.0,1.0,171,0.4451341372802325,0.4786299243820153,0.4914399292651407,0.03493217616580312
PV-0025,True,1604,325,1.3692642315020402,-1.3291809996406,1.5658332141342906,1.3594231080586057,0.0,0,,2.0755945541969787,2.1363433900638014,1.884211294323654
PV-0026,True,457,384,0.7017807442309878,2.308413294775134,2.163855241543124,0.4844818026071268,0.0,0,,2.232853275969792,2.256308944711439,0.5453565845377565
PV-0027,True,1800,800,1.4941596313220287,0.3346362661114069,5.116114655955591,5.116114655955591,0.0,0,,5.277101754156493,5.328775058583634,1.2549019607843137
PV-0028,True,643,1800,5.6784658941830575,0.0728127997428932,0.0,0.0,0.37599868068292486,96,-0.00631807968359057,0.011223083942551858,0.023296189280532304,0.43621092151813434
PV-0029,True,1800,1800,2.0697262960429486,-0.24057818705399853,0.15145944688403115,0.15145944688403115,0.0,1,,0.19475416176821095,0.23147070596739905,2.92101347217884
PV-0030,True,109,308,0.5113112405899233,0.31292095166028555,0.0,0.0,0.9903166666666652,52,-0.07823023791507124,0.0,0.05702687973143012,1.222222222222224
PV-0031,True,1391,529,2.5037743604895915,-0.7189146228208941,0.0,0.0,1.0,129,-1.0844906964655725,0.0,0.045021311433121665,6.81970412985412
PV-0032,True,1800,1591,3.5698311101018034,-0.3956041494522485,0.22410023760961226,0.0,1.0,1591,-0.6011888332551388,0.24776161696070717,0.28645517965867867,0.043269230769230754
PV-0033,True,1800,325,1.7652832815773047,-0.6457887025256335,1.675412459871826,1.674967448398914,0.0,0,,1.8583648751599977,1.9108603074479056,4.178250685177947
PV-0034,True,796,1022,2.0703195471725317,-0.00820887771803654,0.0,0.0,0.7233114163525575,908,-0.06400973230484423,0.0,0.01620472458558447,0.0487742574257426
PV-0035,True,86,694,1.894787598913235,-0.8208782878313653,0.6085614032207954,0.0,1.0,0,,0.7413720119729105,0.7908524910390831,1.6514204602403815
PV-0036,True,1800,1287,3.580336530162964,0.012813041347795295,0.09950861238839569,0.09950861238839569,0.0,0,,0.21798512043953153,0.4252687516353872,0.8846153846153845
PV-0037,True,1800,495,3.9837752530516317,-0.16005044449020686,0.030188600601370665,0.0,1.0,495,-0.22197041344705074,0.044413530764124305,0.07151623442577856,0.03472876901490334
PV-0038,True,1800,1800,5.133181018927385,0.13481143514097244,0.0,0.0,1.0,527,-0.01178138853412905,0.01841331335367515,0.05333335594027042,0.5010411819342854
PV-0039,True,289,1533,1.859651587625417,-0.1935846490791766,0.0,0.0,1.0,336,-0.7448309184456767,0.0,0.03012161753280993,1.0375260192071993
