source,scope,family,condition,k,recall,recall_ci95_low,recall_ci95_high,violation_rate,violation_ci95_low,violation_ci95_high,delta_recall_vs_semantic,delta_violation_vs_semantic,delta_recall_vs_main,delta_recall_vs_main_ci95_low,delta_recall_vs_main_ci95_high,delta_violation_vs_main,delta_violation_vs_main_ci95_low,delta_violation_vs_main_ci95_high,selected_or_correct_numerator,violation_denominator
3dssg_official_full_l160_confirmatory,within_family,support_contact,semantic_only,5,0.670704845814978,0.644357527409403,0.6942214857924094,0.029197080291970802,0.022618613138686135,0.03650547445255473,,,0.0005506607929516294,-0.004986357110136144,0.006579490185860764,-0.0025547445255474435,-0.0051094890510948905,-0.0003649635036496353,80,2740
3dssg_official_full_l160_confirmatory,within_family,support_contact,semantic_only,10,0.8254405286343612,0.7996622742917707,0.8484869729261204,0.04525547445255475,0.03868613138686131,0.05237682481751825,,,-0.005506607929515406,-0.009994864427684772,-0.0016722175124137095,-0.001642335766423357,-0.003654197080291973,0.00018704379562043893,248,5480
3dssg_official_full_l160_confirmatory,within_family,support_contact,semantic_only,20,0.9041850220264317,0.8836335177594475,0.9223495089024127,0.05374087591240876,0.04872034671532847,0.059215328467153286,,,-0.009361233480176256,-0.015152542790904147,-0.003308484524406081,-0.0037408759124087573,-0.005565693430656937,-0.0019137773722627696,589,10960
3dssg_official_full_l160_confirmatory,within_family,support_contact,semantic_only,50,0.9664096916299559,0.9551210226847346,0.9769831439475283,0.04861313868613139,0.045473540145985404,0.05222627737226277,,,-0.008259911894273109,-0.014413378106455783,-0.0023660353648685384,-0.006678832116788318,-0.007956204379562043,-0.005437956204379563,1332,27400
3dssg_official_full_l160_confirmatory,within_family,support_contact,semantic_only,100,0.9906387665198237,0.9853266840011747,0.9953992160366992,0.0411775597111646,0.0388752892209889,0.04358173106357921,,,-0.0016519823788546661,-0.004333753196686924,0.0005659469884617463,-0.0040548046658026235,-0.004813093858909713,-0.003269211331289526,2224,54010
3dssg_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,5,0.6701541850220264,0.644027785021761,0.6930885917672942,0.031751824817518245,0.024452554744525547,0.040145985401459854,-0.0005506607929516294,0.0025547445255474435,,,,,,,87,2740
3dssg_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,10,0.8309471365638766,0.8057481228132248,0.8529017696730147,0.046897810218978105,0.04032390510948905,0.05437956204379562,0.005506607929515406,0.001642335766423357,,,,,,,257,5480
3dssg_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,20,0.913546255506608,0.894011793835871,0.9306288043597688,0.05748175182481752,0.052554744525547446,0.06295620437956205,0.009361233480176256,0.0037408759124087573,,,,,,,630,10960
3dssg_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,50,0.974669603524229,0.9658888087743868,0.9835449513258192,0.055291970802919706,0.05182299270072993,0.05894251824817518,0.008259911894273109,0.006678832116788318,,,,,,,1515,27400
3dssg_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,100,0.9922907488986784,0.9878180455392593,0.9961797123702678,0.045232364376967225,0.042647489182166196,0.04793390041233978,0.0016519823788546661,0.0040548046658026235,,,,,,,2443,54010
3dssg_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,5,0.6712555066079295,0.6455010750477561,0.695073197578426,0.029927007299270073,0.022992700729927006,0.03759124087591241,0.0005506607929515184,0.0007299270072992706,0.0011013215859031478,-0.0044719597240070715,0.007255789581325799,-0.001824817518248173,-0.00437956204379562,0.0007299270072992706,82,2740
3dssg_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,10,0.8303964757709251,0.8046602080137815,0.8526962637256464,0.04543795620437956,0.03868613138686131,0.0525684306569343,0.004955947136563887,0.0001824817518248159,-0.0005506607929515184,-0.004371884123063194,0.0027702369105499307,-0.0014598540145985411,-0.003102189781021898,0.0001824817518248159,249,5480
3dssg_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,20,0.913546255506608,0.8938241643371821,0.9304433037379832,0.05611313868613139,0.05127509124087591,0.061587591240875914,0.009361233480176256,0.0023722627737226276,0.0,-0.003950730277083236,0.003933251563373838,-0.0013686131386861297,-0.002645985401459855,-9.124087591240448e-05,615,10960
3dssg_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,50,0.9763215859030837,0.9676020874374006,0.9847091891835248,0.05186131386861314,0.04861131386861314,0.05547445255474453,0.009911894273127775,0.003248175182481751,0.0016519823788546661,-0.0011080485962251252,0.004518121753528022,-0.003430656934306567,-0.004380474452554741,-0.0025912408759124067,1421,27400
3dssg_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,100,0.9922907488986784,0.9876407207887389,0.9962728303580092,0.04312164413997408,0.040719229480658856,0.04570265424590593,0.0016519823788546661,0.0019440844288094797,0.0,-0.001626104582610266,0.001652050717893949,-0.002110720236993144,-0.0026372588733472977,-0.001570091629127918,2329,54010
3dssg_official_full_l160_confirmatory,within_family,support_contact,geometry_only_family,5,0.0710352422907489,0.059999143346659047,0.08273201341720353,0.02664233576642336,0.018613138686131386,0.03576642335766423,-0.5996696035242292,-0.0025547445255474435,-0.5991189427312775,-0.624463086223742,-0.5720379205699642,-0.005109489051094887,-0.015337591240875916,0.0051094890510948905,73,2740
