source,scope,family,condition,k,recall,recall_ci95_low,recall_ci95_high,violation_rate,violation_ci95_low,violation_ci95_high,delta_recall_vs_semantic,delta_violation_vs_semantic,delta_recall_vs_main,delta_recall_vs_main_ci95_low,delta_recall_vs_main_ci95_high,delta_violation_vs_main,delta_violation_vs_main_ci95_low,delta_violation_vs_main_ci95_high,selected_or_correct_numerator,violation_denominator
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,5,0.6486784140969163,0.6214682890001159,0.6740123690597392,0.023214285714285715,0.01687859235259959,0.02984126782924486,,,0.008259911894273109,0.001739850159213205,0.01572251268743532,0.0011250082177371654,-0.0015673579281391267,0.00397427994747811,52,2240
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,10,0.751101321585903,0.7226837107425125,0.7760459159841808,0.035103785103785104,0.02806901316950835,0.04292450303841796,,,0.0038546255506607396,0.0,0.008366452123657577,0.0010021115957333168,-0.0009664778545943875,0.003245930671974154,115,3276
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,20,0.8006607929515418,0.7733302818695361,0.8248435822024524,0.043091655266757865,0.03655001337626449,0.05019336734317184,,,0.0038546255506607396,0.0,0.007981958021851634,0.00044773202581969984,-0.0015875590863258897,0.0026055573065538688,189,4386
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,50,0.8645374449339207,0.8403232406015719,0.8861903398067222,0.05286343612334802,0.046602876055329194,0.059435868819445,,,-0.0022026431718061845,-0.006921570384551262,0.0022284433099499625,-0.0018919986592606797,-0.0036127719354542135,-0.00027606511649360576,408,7718
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,100,0.933920704845815,0.9165221906252995,0.949662360890302,0.052493610328330824,0.04825274284824212,0.057246078310952374,,,-0.008259911894273109,-0.014409616459250277,-0.002233295798950108,-0.006026892453453642,-0.0078120026517502035,-0.004313847996319477,801,15259
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,5,0.6404185022026432,0.6128635421085306,0.6655537932049812,0.02208927749654855,0.015807600899352844,0.028886163446613582,-0.008259911894273109,-0.0011250082177371654,,,,,,,48,2173
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,10,0.7472466960352423,0.7188959198461833,0.7731515070299544,0.03410167350805179,0.027238864291824007,0.04188178072600177,-0.0038546255506607396,-0.0010021115957333168,,,,,,,108,3167
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,20,0.7968061674008811,0.768542819124201,0.8221758170883486,0.042643923240938165,0.03617275181084791,0.05040503181578496,-0.0038546255506607396,-0.00044773202581969984,,,,,,,180,4221
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,50,0.8667400881057269,0.8428882571890657,0.8888904707668944,0.0547554347826087,0.04831318811522918,0.06164143840273854,0.0022026431718061845,0.0018919986592606797,,,,,,,403,7360
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,100,0.9421806167400881,0.9269421202877437,0.9558090294406519,0.058520502781784466,0.05414253376399406,0.0636195154350762,0.008259911894273109,0.006026892453453642,,,,,,,852,14559
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,pooled_calibration,5,0.6431718061674009,0.6154647013775606,0.6693598798167106,0.023202911737943584,0.01654392765948823,0.0300163135488749,-0.005506607929515406,-1.1373976342130693e-05,0.002753303964757703,-0.002747290504987032,0.009297438859475718,0.0011136342413950347,-0.0016054363905510835,0.003907532677766899,51,2198
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,pooled_calibration,10,0.751101321585903,0.7230895176016929,0.776603283674053,0.03303209722655033,0.026237814133565674,0.04037001388642411,0.0,-0.0020716878772347735,0.0038546255506607396,0.0,0.008356545961002774,-0.0010695762815014567,-0.0029697943202646937,0.0006214279149689567,106,3209
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,pooled_calibration,20,0.7990088105726872,0.7709395824104462,0.8231221008462873,0.04325461772270283,0.03666750585899859,0.05058457098230886,-0.0016519823788545551,0.00016296245594496495,0.0022026431718061845,-0.0015942190067787382,0.005667263741648239,0.0006106944817646648,-0.0011029183940673213,0.0021708853424219983,185,4277
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,pooled_calibration,50,0.8683920704845814,0.8451278469050245,0.8905442654824813,0.05394964699613694,0.04733659197944912,0.060826357259859326,0.0038546255506607396,0.0010862108727889216,0.0016519823788545551,-0.0011364121436332254,0.004865658912448853,-0.000805787786471758,-0.0017089052040663401,0.00012304661052575717,405,7507
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,pooled_calibration,100,0.9443832599118943,0.9291290415313853,0.9575823881305444,0.05550998085862729,0.05099036830623092,0.06044075791007574,0.010462555066079293,0.003016370530296464,0.0022026431718061845,-0.001150981606721918,0.006084323597185734,-0.003010521923157178,-0.004137163137861973,-0.001972984791164925,812,14628
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,geometry_only_family,5,0.019823788546255508,0.013690940804567725,0.026805467353263984,0.017857142857142856,0.008383282949372807,0.02970322390845642,-0.6288546255506607,-0.005357142857142859,-0.6205947136563876,-0.6471247497522422,-0.5914691826711005,-0.0042321346394056936,-0.017703839462002692,0.008884138752294867,18,1008
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,geometry_only_family,10,0.03909691629955947,0.03120998166512712,0.04738344868757346,0.021627188465499485,0.013101599017252824,0.030834244454644753,-0.7120044052863436,-0.01347659663828562,-0.7081497797356828,-0.7358395847955178,-0.6777771719374773,-0.012474485042552302,-0.02375293836733593,-0.0014993307588152744,42,1942
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,geometry_only_family,20,0.08259911894273128,0.07035955950543293,0.09434599694033656,0.023155627355950458,0.016478594695207075,0.029556261833781645,-0.7180616740088105,-0.019936027910807407,-0.7142070484581498,-0.7415123949823781,-0.6837420477270093,-0.019488295884987707,-0.028616283596199867,-0.010659824323572478,86,3714
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,geometry_only_family,50,0.35187224669603523,0.3256145739195732,0.3786049894059841,0.04818072770891643,0.0419682537857572,0.05482327941999479,-0.5126651982378855,-0.004682708414431587,-0.5148678414096917,-0.543637365324391,-0.4849727213210155,-0.006574707073692267,-0.014623029799432074,0.0011710331848915647,482,10004
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,geometry_only_family,100,0.6338105726872246,0.6038658053952772,0.6639814462608353,0.055780933062880324,0.050862580326522744,0.06115459505490319,-0.3001101321585904,0.0032873227345495,-0.3083700440528635,-0.3370784494816155,-0.27556323399242005,-0.002739569718904142,-0.007488047003921758,0.0020205514074882838,1100,19720
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,rank_average_fusion,5,0.21585903083700442,0.19594623573840445,0.23672870863314419,0.036464088397790057,0.02304881594324494,0.051196727049969366,-0.43281938325991187,0.013249802683504341,-0.42455947136563876,-0.4522863023838489,-0.39806634010989134,0.014374810901241507,0.0028548040813428754,0.028373284327032653,33,905
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,rank_average_fusion,10,0.3540748898678414,0.326859666147902,0.3810651250658919,0.03581421376608842,0.02584095911039036,0.04728200895168533,-0.3970264317180616,0.0007104286623033154,-0.3931718061674009,-0.41871981224215316,-0.364700384826828,0.0017125402580366322,-0.007178497309005023,0.012036037122088715,64,1787
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,rank_average_fusion,20,0.5165198237885462,0.48561912352847864,0.5460277396997028,0.04927884615384615,0.04029463601532567,0.058616302073846493,-0.2841409691629956,0.006187190887088287,-0.28028634361233484,-0.3067304067335649,-0.25252451111229746,0.006634922912907987,-2.7742139904352216e-05,0.013584257924318138,164,3328
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,rank_average_fusion,50,0.7147577092511013,0.6869402727981487,0.7420971017740251,0.057139121338912136,0.05025585028979162,0.0646805075960197,-0.14977973568281944,0.0042756852155641165,-0.15198237885462562,-0.17521019978239233,-0.12845908866071132,0.002383686556303437,-0.0025766634236146163,0.007757397104306558,437,7648
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,rank_average_fusion,100,0.9124449339207048,0.8944979761289845,0.9284544187058473,0.06004845786130574,0.0549946263017166,0.06543667540552675,-0.021475770925110216,0.007554847532974918,-0.029735682819383324,-0.042017793452827114,-0.0168567584580467,0.001527955079521276,-0.0014642173661842926,0.004515505458055351,917,15271
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,reciprocal_rank_fusion,5,0.2621145374449339,0.23923428070210687,0.2853081976046995,0.03394762366634336,0.022220683287165283,0.04772245876243459,-0.3865638766519824,0.010733337952057644,-0.3783039647577093,-0.4063577051985614,-0.35367929191600234,0.011858346169794809,0.0011712620742234039,0.024529669004798627,35,1031
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,reciprocal_rank_fusion,10,0.43006607929515417,0.4019639725397528,0.45956819210072875,0.036354581673306775,0.027281503842732348,0.04641865450392191,-0.32103524229074887,0.0012507965695216713,-0.31718061674008813,-0.34224303270161294,-0.2898363874674838,0.002252908165254988,-0.005465366575833029,0.011024583038968968,73,2008
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,reciprocal_rank_fusion,20,0.6448237885462555,0.6146977611940299,0.67258608443917,0.038788522848034,0.031455097732547926,0.046897748982229114,-0.15583700440528625,-0.004303132418723862,-0.1519823788546255,-0.1723587806165962,-0.13161945231350328,-0.0038554003929041625,-0.009934619763014314,0.00162915294397367,146,3764
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,reciprocal_rank_fusion,50,0.8573788546255506,0.8312087728629832,0.8801585066706715,0.04536222071767095,0.03976182064076538,0.05158777063663379,-0.007158590308370072,-0.007501215405677067,-0.009361233480176256,-0.020276204190257854,0.0,-0.009393214064937747,-0.013205024742461843,-0.005623536027695153,402,8862
3dssg_official_full_l160_confirmatory,global_topk_family_slice,support_contact,reciprocal_rank_fusion,100,0.9273127753303965,0.9090374404608057,0.9432979897159748,0.054603286799787945,0.04993480623533082,0.05954105197549595,-0.0066079295154185536,0.002109676471457121,-0.014867841409691662,-0.0259280667951188,-0.00440765281974731,-0.0039172159819965205,-0.007054090666874303,-0.0006813132050341515,927,16977
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,semantic_only,5,0.039071347678369193,0.027806196805409817,0.05083043427111693,0.004524886877828055,0.0,0.015877796901893282,,,-0.008493771234428085,-0.013111271436424094,-0.004295233359056447,0.004524886877828055,0.0,0.015877796901893282,1,221
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,semantic_only,10,0.22536806342015855,0.19951963497155356,0.2529552578064603,0.0016406890894175555,0.0,0.005623052959501543,,,-0.01245753114382786,-0.018005163359086997,-0.007413904591435217,0.0016406890894175555,0.0,0.005623052959501543,2,1219
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,semantic_only,20,0.5719139297848245,0.5331785631113182,0.6126362933168317,0.0023747328425552127,0.00048155354656979844,0.005014006065625009,,,-0.022650056625141524,-0.030165495525356325,-0.015570192518089152,0.0021424448053891268,0.0004760291556041941,0.00473910127180614,10,4211
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,semantic_only,50,0.9088335220838052,0.8758070244672455,0.9398266820801501,0.010869565217391304,0.008080491802813549,0.01403170956404269,,,-0.011325028312570762,-0.01765538246341606,-0.005938066175828235,0.010237154150197629,0.007484495691667147,0.013199793436653949,138,12696
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,semantic_only,100,0.9739524348810872,0.9567160172387167,0.988374212325864,0.027143229392860246,0.022582155466563718,0.03188477539674845,,,-0.005662514156285381,-0.0101600359016633,-0.0018381790445676366,0.024150535087781467,0.01983051268706661,0.028725048254468765,625,23026
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,family_conditional_risk,5,0.04756511891279728,0.03554580016633004,0.06077078889071218,0.0,0.0,0.0,0.008493771234428085,-0.004524886877828055,,,,,,,0,255
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,family_conditional_risk,10,0.23782559456398641,0.21090540123208756,0.26558889611719494,0.0,0.0,0.0,0.01245753114382786,-0.0016406890894175555,,,,,,,0,1288
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,family_conditional_risk,20,0.594563986409966,0.5562639628718105,0.6360596752770107,0.00023228803716608595,0.0,0.0007401878276162894,0.022650056625141524,-0.0021424448053891268,,,,,,,1,4305
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,family_conditional_risk,50,0.920158550396376,0.8885658807212206,0.9483221896453089,0.0006324110671936759,0.0002330259984819958,0.0012519265007784502,0.011325028312570762,-0.010237154150197629,,,,,,,8,12650
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,family_conditional_risk,100,0.9796149490373726,0.9646255805644873,0.9918832767144694,0.0029926943050787784,0.0019298824757413586,0.004243415198372552,0.005662514156285381,-0.024150535087781467,,,,,,,68,22722
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,pooled_calibration,5,0.045866364665911666,0.03469624397089104,0.058253762269430825,0.0,0.0,0.0,0.006795016987542472,-0.004524886877828055,-0.0016987542468856129,-0.00544405517448704,0.002347555923777961,0.0,0.0,0.0,0,234
3dssg_official_full_l160_confirmatory,global_topk_family_slice,proximity,pooled_calibration,10,0.24462061155152887,0.21748904703120084,0.27370819798711327,0.0008058017727639,0.0,0.002810390830649609,0.019252548131370312,-0.0008348873166536554,0.0067950169875424515,0.0011708237118073193,0.013016796448809768,0.0008058017727639,0.0,0.002810390830649609,1,1241
