source,scope,family,condition,k,recall,recall_ci95_low,recall_ci95_high,violation_rate,violation_ci95_low,violation_ci95_high,delta_recall_vs_semantic,delta_violation_vs_semantic,delta_recall_vs_main,delta_recall_vs_main_ci95_low,delta_recall_vs_main_ci95_high,delta_violation_vs_main,delta_violation_vs_main_ci95_low,delta_violation_vs_main_ci95_high,selected_or_correct_numerator,violation_denominator
sgfn_official_full_l160_confirmatory,within_family,support_contact,semantic_only,5,0.677863436123348,0.6529562859882082,0.7012890012371295,0.025912408759124088,0.019343065693430656,0.032481751824817516,,,0.008259911894273109,-0.0011153172704628622,0.017241619173718685,-0.0018248175182481764,-0.005474452554744526,0.0014598540145985411,71,2740
sgfn_official_full_l160_confirmatory,within_family,support_contact,semantic_only,10,0.8359030837004405,0.8109853190287973,0.8574796569844624,0.04051094890510949,0.034302007299270076,0.04708029197080292,,,-0.013766519823788514,-0.0223227961602862,-0.005473080287678914,0.0014598540145985411,-0.0012773722627737183,0.004014598540145985,222,5480
sgfn_official_full_l160_confirmatory,within_family,support_contact,semantic_only,20,0.920704845814978,0.900272999375579,0.9382317516268239,0.04279197080291971,0.037771441605839416,0.04781021897810219,,,-0.00770925110132159,-0.014753510420158827,-0.0015567750966272893,-0.005748175182481753,-0.007937956204379558,-0.0035583941605839414,469,10960
sgfn_official_full_l160_confirmatory,within_family,support_contact,semantic_only,50,0.9730176211453745,0.9612993707262772,0.9831539064779691,0.04890510948905109,0.04551003649635037,0.05248266423357664,,,-0.005506607929515406,-0.009860844483997067,-0.0016573216589189062,-0.009562043795620437,-0.011241788321167881,-0.007846715328467153,1340,27400
sgfn_official_full_l160_confirmatory,within_family,support_contact,semantic_only,100,0.9906387665198237,0.9851055890758972,0.9955736234735441,0.04262173671542307,0.04016978566984899,0.04518046419140574,,,-0.0011013215859031478,-0.003293129732339592,0.0010858502125154516,-0.004499166820959084,-0.005319576635939553,-0.003701578772740668,2302,54010
sgfn_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,5,0.6696035242290749,0.6436923163975037,0.6939479609827143,0.027737226277372264,0.020437956204379562,0.035036496350364967,-0.008259911894273109,0.0018248175182481764,,,,,,,76,2740
sgfn_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,10,0.849669603524229,0.8262300751468352,0.8707123902748557,0.03905109489051095,0.03302919708029197,0.045807481751824815,0.013766519823788514,-0.0014598540145985411,,,,,,,214,5480
sgfn_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,20,0.9284140969162996,0.9095446138646881,0.9446278710044613,0.04854014598540146,0.04324817518248175,0.05419936131386861,0.00770925110132159,0.005748175182481753,,,,,,,532,10960
sgfn_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,50,0.9785242290748899,0.9685327071823204,0.9873508088513769,0.05846715328467153,0.054817518248175184,0.06226368613138686,0.005506607929515406,0.009562043795620437,,,,,,,1602,27400
sgfn_official_full_l160_confirmatory,within_family,support_contact,family_conditional_risk,100,0.9917400881057269,0.9868918707358201,0.9957015812694076,0.04712090353638215,0.04452596463859442,0.04990710889932253,0.0011013215859031478,0.004499166820959084,,,,,,,2545,54010
sgfn_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,5,0.6696035242290749,0.6452416522055531,0.6923129812981298,0.026277372262773723,0.019343065693430656,0.033576642335766425,-0.008259911894273109,0.0003649635036496353,0.0,-0.0072406547984679714,0.007211008579016394,-0.0014598540145985411,-0.004014598540145985,0.0010948905109489059,72,2740
sgfn_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,10,0.8463656387665198,0.8224395733136022,0.8673822695711206,0.03996350364963504,0.033576642335766425,0.046532846715328466,0.010462555066079293,-0.0005474452554744547,-0.0033039647577092213,-0.008315433617345913,0.0016431161188407426,0.0009124087591240865,-0.0010948905109489093,0.003102189781021898,219,5480
sgfn_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,20,0.9306167400881057,0.9110794751251796,0.9466817096717081,0.04735401459854015,0.041970802919708027,0.05273722627737226,0.009911894273127664,0.004562043795620439,0.0022026431718060735,-0.0032898359610479765,0.0075363348848199166,-0.0011861313868613138,-0.0029197080291970823,0.0003649635036496318,519,10960
sgfn_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,50,0.9801762114537445,0.9706031580735689,0.9885261493228795,0.054452554744525546,0.050985401459854016,0.058175182481751825,0.007158590308369961,0.005547445255474452,0.0016519823788545551,-0.0011217522544380242,0.005025689298990768,-0.004014598540145985,-0.005146897810218981,-0.002846715328467156,1492,27400
sgfn_official_full_l160_confirmatory,within_family,support_contact,pooled_calibration,100,0.9922907488986784,0.9874915353014799,0.9962063205675253,0.04495463802999444,0.04244350392484084,0.04760419324044214,0.0016519823788546661,0.0023329013145713742,0.0005506607929515184,0.0,0.001694078116476999,-0.00216626550638771,-0.0027085423235113375,-0.001573454923263385,2428,54010
sgfn_official_full_l160_confirmatory,within_family,support_contact,geometry_only_family,5,0.0710352422907489,0.059999143346659047,0.08273201341720353,0.02664233576642336,0.018613138686131386,0.03576642335766423,-0.6068281938325991,0.0007299270072992706,-0.598568281938326,-0.6238104477185186,-0.5738496224013131,-0.0010948905109489059,-0.011687956204379563,0.00948905109489051,73,2740
sgfn_official_full_l160_confirmatory,within_family,support_contact,geometry_only_family,10,0.15914096916299558,0.14230719977233922,0.17534401397130642,0.037773722627737226,0.031204379562043794,0.045802919708029195,-0.676762114537445,-0.0027372262773722664,-0.6905286343612335,-0.7154816589000078,-0.6651815648759719,-0.0012773722627737252,-0.00894160583941606,0.006934306569343067,207,5480
sgfn_official_full_l160_confirmatory,within_family,support_contact,geometry_only_family,20,0.3595814977973568,0.3371265405232478,0.3822040659318171,0.05155109489051095,0.04561815693430657,0.058122718978102186,-0.5611233480176212,0.00875912408759124,-0.5688325991189428,-0.5941851259818617,-0.542994716017792,0.0030109489051094868,-0.0033781934306569288,0.009035127737226275,565,10960
sgfn_official_full_l160_confirmatory,within_family,support_contact,geometry_only_family,50,0.7863436123348018,0.7644965761419346,0.8071418109025218,0.056131386861313866,0.052153284671532844,0.060438868613138685,-0.18667400881057272,0.007226277372262772,-0.19218061674008813,-0.21254015289131095,-0.17116550818676288,-0.0023357664233576644,-0.005329379562043797,0.0007308394160583938,1538,27400
sgfn_official_full_l160_confirmatory,within_family,support_contact,geometry_only_family,100,0.9790748898678414,0.9716298992161254,0.985532644998088,0.048287354193667836,0.0456280872808525,0.05105797604506766,-0.01156387665198233,0.005665617478244768,-0.012665198237885478,-0.01907382948187278,-0.007428321521485603,0.0011664506572856836,-7.378480926794606e-05,0.0023690981086324126,2608,54010
sgfn_official_full_l160_confirmatory,within_family,support_contact,rank_average_fusion,5,0.3920704845814978,0.36957146412035985,0.4150123421281615,0.043795620437956206,0.03466240875912409,0.05547445255474453,-0.2857929515418502,0.01788321167883212,-0.2775330396475771,-0.2997196084293042,-0.25340449002509896,0.016058394160583942,0.006569343065693435,0.025547445255474453,120,2740
sgfn_official_full_l160_confirmatory,within_family,support_contact,rank_average_fusion,10,0.5936123348017621,0.5686214507090755,0.6198812531373695,0.04397810218978102,0.037408759124087594,0.051464416058394157,-0.2422907488986784,0.00346715328467153,-0.2560572687224669,-0.2797936711344742,-0.2297955021331728,0.004927007299270071,-0.000364963503649632,0.010218978102189781,241,5480
sgfn_official_full_l160_confirmatory,within_family,support_contact,rank_average_fusion,20,0.8309471365638766,0.809313724305629,0.852285867754629,0.05410583941605839,0.04844662408759124,0.06067518248175183,-0.08975770925110138,0.011313868613138683,-0.09746696035242297,-0.11466185273122642,-0.08041323423754031,0.00556569343065693,0.0020050182481751787,0.009032846715328467,593,10960
sgfn_official_full_l160_confirmatory,within_family,support_contact,rank_average_fusion,50,0.9763215859030837,0.9660731405050125,0.984683131853021,0.06014598540145986,0.05620437956204379,0.06419799270072993,0.0033039647577092213,0.011240875912408764,-0.0022026431718061845,-0.007426892774021662,0.002744312493214779,0.0016788321167883272,0.0002189781021897791,0.0031386861313868614,1648,27400
sgfn_official_full_l160_confirmatory,within_family,support_contact,rank_average_fusion,100,0.9922907488986784,0.9879630008964806,0.9960785958678774,0.04665802629142751,0.043942546695950054,0.049445254309449446,0.0016519823788546661,0.004036289576004444,0.0005506607929515184,0.0,0.0016999345021843414,-0.00046287724495464033,-0.0009467279882094361,1.8532503834629323e-05,2520,54010
sgfn_official_full_l160_confirmatory,within_family,support_contact,reciprocal_rank_fusion,5,0.47191629955947134,0.44620404477239806,0.49551032506669296,0.03686131386861314,0.028822992700729928,0.04671532846715328,-0.20594713656387664,0.010948905109489052,-0.19768722466960353,-0.21913104715248008,-0.17528280467889057,0.009124087591240875,0.0010948905109489059,0.016788321167883213,101,2740
sgfn_official_full_l160_confirmatory,within_family,support_contact,reciprocal_rank_fusion,10,0.7323788546255506,0.7068843778570532,0.7560609071230676,0.03795620437956204,0.03193430656934307,0.04543795620437956,-0.1035242290748899,-0.0025547445255474505,-0.11729074889867841,-0.13576108343330173,-0.10026419289542408,-0.0010948905109489093,-0.005656934306569342,0.00346715328467153,208,5480
sgfn_official_full_l160_confirmatory,within_family,support_contact,reciprocal_rank_fusion,20,0.9052863436123348,0.883757879312305,0.9249136219579173,0.044434306569343066,0.03932253649635037,0.04981979927007299,-0.01541850220264318,0.001642335766423357,-0.02312775330396477,-0.03292811225510744,-0.013863839541547306,-0.004105839416058396,-0.007116788321167883,-0.001457572992700733,487,10960
sgfn_official_full_l160_confirmatory,within_family,support_contact,reciprocal_rank_fusion,50,0.9763215859030837,0.9655162966461975,0.9851004682830308,0.05335766423357664,0.04963412408759124,0.05751824817518248,0.0033039647577092213,0.00445255474452555,-0.0022026431718061845,-0.00637653505719224,0.0016826047236942893,-0.005109489051094887,-0.007116788321167883,-0.003065693430656935,1462,27400
sgfn_official_full_l160_confirmatory,within_family,support_contact,reciprocal_rank_fusion,100,0.9917400881057269,0.9874174260363897,0.9956044559504197,0.045750786891316425,0.04311225798726332,0.0484918712293603,0.0011013215859031478,0.0031290501758933567,0.0,-0.0016658804532919624,0.001615596068724906,-0.0013701166450657276,-0.0020315447766822508,-0.0007408745103688614,2471,54010
sgfn_official_full_l160_confirmatory,within_family,proximity,semantic_only,5,0.48471121177802945,0.4512847661849802,0.5178641604767663,0.004379562043795621,0.0021897810218978104,0.0072992700729927005,,,-0.018686296715741735,-0.025762438330744316,-0.012090978694102673,0.004379562043795621,0.0021897810218978104,0.0072992700729927005,12,2740
sgfn_official_full_l160_confirmatory,within_family,proximity,semantic_only,10,0.7117780294450736,0.6756025261802824,0.7482647746598639,0.009306569343065693,0.006386861313868613,0.012773722627737226,,,-0.020385050962627438,-0.027512101789496098,-0.014012278603101395,0.008941605839416058,0.006021897810218978,0.012048357664233572,51,5480
sgfn_official_full_l160_confirmatory,within_family,proximity,semantic_only,20,0.8731596828992072,0.8378985620055813,0.906040683253001,0.023266423357664233,0.018702098540145987,0.028010948905109488,,,-0.01528878822197055,-0.021862214692396763,-0.009752333502105005,0.022445255474452554,0.01769844890510949,0.02719206204379562,255,10960
