source,scope,family,condition,k,recall,recall_ci95_low,recall_ci95_high,violation_rate,violation_ci95_low,violation_ci95_high,delta_recall_vs_semantic,delta_violation_vs_semantic,delta_recall_vs_main,delta_recall_vs_main_ci95_low,delta_recall_vs_main_ci95_high,delta_violation_vs_main,delta_violation_vs_main_ci95_low,delta_violation_vs_main_ci95_high,selected_or_correct_numerator,violation_denominator
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,5,0.676762114537445,0.6514238964452526,0.7000198938992042,0.02424468481909735,0.01786762949746414,0.030782063638675822,,,0.010462555066079293,0.0010699706526554643,0.019469084256355466,-0.0021113121251348857,-0.0056595101307251264,0.0010112031581403138,65,2681
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,10,0.8276431718061674,0.8029826279845244,0.8500364578876494,0.03803803803803804,0.032153257339889545,0.04491509887787999,,,0.0011013215859031478,-0.00733408535438986,0.009730653605314495,0.0011658193476375353,-0.001684000059413582,0.004091034170510361,190,4995
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,20,0.8981277533039648,0.8767705890261573,0.9171386532791578,0.03967571551406461,0.034544753331117554,0.04535092214229078,,,0.008259911894273109,0.002721755066168982,0.013971652767690418,-0.0005314536286367688,-0.002588410688513423,0.0016619981779619228,323,8141
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,50,0.9498898678414097,0.9335493067075766,0.9646893420102209,0.04551300371534724,0.0411504034578779,0.05015391560700981,,,0.008259911894273109,0.003336717620994739,0.013553288025794513,-0.004561487262967602,-0.006244207824410479,-0.0028697677907747357,637,13996
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,semantic_only,100,0.9686123348017621,0.9556990231722808,0.9797239912288375,0.048865176151761516,0.04512798571132083,0.05273181829809086,,,-0.0011013215859030367,-0.004546103896103873,0.00218465830113114,-0.00859707134774819,-0.010277754047178124,-0.006984891933860893,1154,23616
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,5,0.6662995594713657,0.640317787666655,0.6906048014773777,0.026355996944232237,0.019120093578462925,0.03365510973401881,-0.010462555066079293,0.0021113121251348857,,,,,,,69,2618
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,10,0.8265418502202643,0.8033071694075762,0.8483875257378174,0.036872218690400506,0.030931237959169744,0.04381567944157182,-0.0011013215859031478,-0.0011658193476375353,,,,,,,174,4719
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,20,0.8898678414096917,0.8687757081229308,0.9092479860720892,0.04020716914270138,0.03482511798044573,0.046386828769243264,-0.008259911894273109,0.0005314536286367688,,,,,,,295,7337
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,50,0.9416299559471366,0.9260649554814129,0.956615507103116,0.050074490978314845,0.045090237973387834,0.05515426746991164,-0.008259911894273109,0.004561487262967602,,,,,,,605,12082
sgfn_official_full_l160_confirmatory,global_topk_family_slice,support_contact,family_conditional_risk,100,0.9697136563876652,0.957001580023293,0.9805337676463214,0.057462247499509705,0.05330141367593099,0.06195806234271621,0.0011013215859030367,0.00859707134774819,,,,,,,1172,20396
