source,condition,k,selected,satisfied,uncertain,violated,other_or_missing,violation_all,violation_all_ci95_low,violation_all_ci95_high,violation_decidable,violation_decidable_ci95_low,violation_decidable_ci95_high,uncertainty_rate,uncertainty_rate_ci95_low,uncertainty_rate_ci95_high,decidable_coverage,decidable_coverage_ci95_low,decidable_coverage_ci95_high,pessimistic_violation,pessimistic_violation_ci95_low,pessimistic_violation_ci95_high,status_coverage,status_coverage_ci95_low,status_coverage_ci95_high
vlsat_closed_set,semantic_only,5,2740,2347,385,8,0,0.00291970802919708,0.00072992700729927,0.0051186131386861235,0.003397027600849257,0.0008601781188105099,0.006082042191876746,0.14051094890510948,0.12554744525547445,0.1558485401459854,0.8594890510948905,0.8441514598540146,0.8744525547445255,0.14343065693430657,0.12883211678832115,0.15875912408759124,1.0,1.0,1.0
vlsat_closed_set,semantic_only,10,5480,4649,786,45,0,0.008211678832116789,0.00510492700729927,0.011861313868613138,0.009586706433745207,0.005895232177505829,0.013802933259958697,0.14343065693430657,0.1322992700729927,0.15565693430656935,0.8565693430656934,0.8443430656934306,0.8677007299270073,0.15164233576642336,0.1395939781021898,0.16405565693430657,1.0,1.0,1.0
vlsat_closed_set,semantic_only,20,10960,8736,2068,156,0,0.014233576642335766,0.01167655109489051,0.017244525547445256,0.017543859649122806,0.01434149581901958,0.021184176189885568,0.18868613138686133,0.17828467153284672,0.19872262773722627,0.8113138686131387,0.8012773722627737,0.8217153284671533,0.2029197080291971,0.1927874087591241,0.21296076642335765,1.0,1.0,1.0
vlsat_closed_set,semantic_only,50,27400,19159,7508,733,0,0.026751824817518248,0.024123175182481752,0.029744525547445257,0.036848984516388496,0.03322921612025709,0.040952253450021944,0.274014598540146,0.26510583941605836,0.2824826642335766,0.725985401459854,0.7175173357664234,0.7348941605839416,0.30076642335766424,0.2916751824817518,0.3094899635036496,1.0,1.0,1.0
vlsat_closed_set,semantic_only,100,54800,33206,18983,2611,0,0.04764598540145985,0.04454333941605839,0.0510228102189781,0.07289834436161599,0.06829448885843661,0.07818795420274684,0.3464051094890511,0.33912408759124085,0.35330474452554744,0.6535948905109489,0.6466952554744526,0.6608759124087591,0.39405109489051093,0.3865501824817518,0.40169753649635037,1.0,1.0,1.0
vlsat_closed_set,family_conditional_risk,5,2740,2395,342,3,0,0.0010948905109489052,0.0,0.0025547445255474453,0.0012510425354462051,0.0,0.0029022462407761935,0.12481751824817518,0.11167883211678832,0.1390602189781022,0.8751824817518248,0.8609397810218978,0.8883211678832117,0.1259124087591241,0.11277372262773723,0.14052007299270072,1.0,1.0,1.0
vlsat_closed_set,family_conditional_risk,10,5480,4723,729,28,0,0.0051094890510948905,0.0031021897810218978,0.007664233576642336,0.00589349610608293,0.003559408125582926,0.008779447880662178,0.13302919708029198,0.12244525547445255,0.14452554744525548,0.8669708029197081,0.8554744525547445,0.8775547445255475,0.13813868613138686,0.12718978102189782,0.14945711678832116,1.0,1.0,1.0
vlsat_closed_set,family_conditional_risk,20,10960,8918,1923,119,0,0.010857664233576642,0.008759124087591242,0.013232208029197078,0.013168086754453912,0.010702341137123745,0.01612225909703034,0.17545620437956205,0.1656021897810219,0.18531021897810218,0.824543795620438,0.8146897810218978,0.8343978102189781,0.18631386861313867,0.17627509124087593,0.19598540145985402,1.0,1.0,1.0
vlsat_closed_set,family_conditional_risk,50,27400,19964,6871,565,0,0.020620437956204378,0.018394160583941607,0.022956204379562042,0.027522041989380876,0.02463123140039488,0.030684323792213006,0.25076642335766425,0.24218795620437955,0.2593813868613139,0.7492335766423358,0.7406186131386862,0.7578120437956204,0.27138686131386863,0.26266240875912406,0.2801833941605839,1.0,1.0,1.0
vlsat_closed_set,family_conditional_risk,100,54800,35837,17138,1825,0,0.0333029197080292,0.031076186131386862,0.03582162408759124,0.04845733099676066,0.04520100871216251,0.05226541243110254,0.31273722627737227,0.3060396897810219,0.31998175182481753,0.6872627737226278,0.6800182481751825,0.6939603102189782,0.34604014598540145,0.33912089416058394,0.35359534671532844,1.0,1.0,1.0
