level,source_id,route_family,score_id,K,unit_count,gt_total,gt_selected,selected_total,violation_denominator,violation_count,Recall@K,Violation@K
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,5,2192,882,311,10956,10956,597,0.3526077097505669,0.05449069003285871
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,10,2192,882,453,21896,21896,1584,0.5136054421768708,0.07234198027036902
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,20,2192,882,639,43568,43568,4378,0.7244897959183674,0.10048659566654425
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,50,2192,882,840,105664,105664,17540,0.9523809523809523,0.16599788007268323
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,100,2192,882,882,194040,194040,66346,1.0,0.3419191919191919
primary_success_weighted,ALL,PRIMARY,I4_calibrated_route_aware_source_x_Ce,5,2192,882,316,10956,10956,521,0.35827664399092973,0.04755385177071924
primary_success_weighted,ALL,PRIMARY,I4_calibrated_route_aware_source_x_Ce,10,2192,882,467,21896,21896,1392,0.5294784580498866,0.06357325538911217
primary_success_weighted,ALL,PRIMARY,I4_calibrated_route_aware_source_x_Ce,20,2192,882,658,43568,43568,3920,0.746031746031746,0.08997429305912596
primary_success_weighted,ALL,PRIMARY,I4_calibrated_route_aware_source_x_Ce,50,2192,882,847,105664,105664,16057,0.9603174603174603,0.1519628255602665
primary_success_weighted,ALL,PRIMARY,I4_calibrated_route_aware_source_x_Ce,100,2192,882,882,194040,194040,66169,1.0,0.3410070088641517
