level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
primary_success_weighted,ALL,PRIMARY,I1_hardneg_structured_source_x_Ce,5,2192,235,882,312,0.35374149659863946,10956,4.998175182481752,10956,600,0.054764512595837894
all_weighted,ALL,ALL,I1_hardneg_structured_source_x_Ce,5,5480,2895,16970,4516,0.26611667648791987,27390,4.998175182481752,21910,4648,0.21214057507987222
primary_success_weighted,ALL,PRIMARY,I1_hardneg_structured_source_x_Ce,10,2192,235,882,457,0.518140589569161,21896,9.989051094890511,21896,1593,0.07275301424917793
all_weighted,ALL,ALL,I1_hardneg_structured_source_x_Ce,10,5480,2895,16970,6583,0.38791985857395406,54696,9.98102189781022,43744,9922,0.22681967812728604
primary_success_weighted,ALL,PRIMARY,I1_hardneg_structured_source_x_Ce,20,2192,235,882,648,0.7346938775510204,43568,19.875912408759124,43568,4410,0.10122107969151671
all_weighted,ALL,ALL,I1_hardneg_structured_source_x_Ce,20,5480,2895,16970,8918,0.5255156157925751,108816,19.856934306569343,86950,20891,0.24026451983898792
primary_success_weighted,ALL,PRIMARY,I1_hardneg_structured_source_x_Ce,50,2192,235,882,841,0.953514739229025,105664,48.2043795620438,105664,17569,0.16627233494851604
all_weighted,ALL,ALL,I1_hardneg_structured_source_x_Ce,50,5480,2895,16970,12535,0.7386564525633471,262416,47.886131386861315,208498,55902,0.26811767978589723
primary_success_weighted,ALL,PRIMARY,I1_hardneg_structured_source_x_Ce,100,2192,235,882,882,1.0,194040,88.52189781021897,194040,66297,0.3416666666666667
all_weighted,ALL,ALL,I1_hardneg_structured_source_x_Ce,100,5480,2895,16970,15189,0.8950500883912788,466366,85.10328467153285,363278,131364,0.36160736405727845
primary_success_weighted,ALL,PRIMARY,I2_route_aware_source_x_Ce,5,2192,235,882,312,0.35374149659863946,10956,4.998175182481752,10956,614,0.05604235122307411
all_weighted,ALL,ALL,I2_route_aware_source_x_Ce,5,5480,2895,16970,4480,0.26399528579846787,27390,4.998175182481752,21910,4720,0.21542674577818346
primary_success_weighted,ALL,PRIMARY,I2_route_aware_source_x_Ce,10,2192,235,882,455,0.5158730158730159,21896,9.989051094890511,21896,1618,0.07389477530142492
all_weighted,ALL,ALL,I2_route_aware_source_x_Ce,10,5480,2895,16970,6519,0.3841484973482616,54696,9.98102189781022,43744,10011,0.22885424286759326
