level,route_family,predicate_label,comparison,expectation,primary_view,baseline_view,primary_auroc,baseline_auroc,delta_auroc
macro_family_primary,ALL,ALL,M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_T_semantic_only,0.8355465299908279,0.41763347769299586,0.41791305229783204
macro_family_primary,ALL,ALL,M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_G_geometry_only,0.8355465299908279,0.5,0.3355465299908279
macro_family_primary,ALL,ALL,M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.8355465299908279,0.4169228221289655,0.4186237078618624
macro_family_primary,ALL,ALL,M4_vs_wrong_T_within_route,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_within_route,0.8355465299908279,0.1644268237632756,0.6711197062275522
macro_family_primary,ALL,ALL,M4_vs_wrong_T_across_route,expect_control_degrade,M4_TxG_compatibility,C2_wrong_T_across_route,0.8355465299908279,0.5650829672274861,0.2704635627633418
macro_family_primary,ALL,ALL,M4_vs_shuffled_G_global,expect_control_degrade,M4_TxG_compatibility,C3_shuffled_G_global,0.8355465299908279,0.493813508862854,0.3417330211279739
macro_family_primary,ALL,ALL,M4_vs_shuffled_G_within_family,expect_control_degrade,M4_TxG_compatibility,C4_shuffled_G_within_family,0.8355465299908279,0.5167935657433202,0.31875296424750765
macro_family_primary,ALL,ALL,M4_vs_subject_object_swap,expect_control_degrade_when_directional,M4_TxG_compatibility,C5_subject_object_swap,0.8355465299908279,0.11850111778898716,0.7170454122018407
macro_family_primary,ALL,ALL,M4_vs_sign_flip,expect_control_degrade_when_signed,M4_TxG_compatibility,C6_sign_flip,0.8355465299908279,0.11850111778898716,0.7170454122018407
macro_family_primary,ALL,ALL,M4_vs_horizontal_frame_swap,expect_control_degrade_for_horizontal,M4_TxG_compatibility,C7_horizontal_frame_swap,0.8355465299908279,0.797397729944396,0.03814880004643195
overall_secondary,ALL,ALL,M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_T_semantic_only,0.724835499373417,0.4043334413530316,0.32050205802038534
overall_secondary,ALL,ALL,M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_G_geometry_only,0.724835499373417,0.5283287415402661,0.19650675783315086
overall_secondary,ALL,ALL,M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.724835499373417,0.4061368001802203,0.31869869919319666
overall_secondary,ALL,ALL,M4_vs_wrong_T_within_route,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_within_route,0.724835499373417,0.27432189939771096,0.450513599975706
overall_secondary,ALL,ALL,M4_vs_wrong_T_across_route,expect_control_degrade,M4_TxG_compatibility,C2_wrong_T_across_route,0.724835499373417,0.4774611117402984,0.24737438763311853
overall_secondary,ALL,ALL,M4_vs_shuffled_G_global,expect_control_degrade,M4_TxG_compatibility,C3_shuffled_G_global,0.724835499373417,0.48931788164781354,0.23551761772560342
overall_secondary,ALL,ALL,M4_vs_shuffled_G_within_family,expect_control_degrade,M4_TxG_compatibility,C4_shuffled_G_within_family,0.724835499373417,0.506811571102711,0.21802392827070594
overall_secondary,ALL,ALL,M4_vs_subject_object_swap,expect_control_degrade_when_directional,M4_TxG_compatibility,C5_subject_object_swap,0.724835499373417,0.26557202344023206,0.4592634759331849
overall_secondary,ALL,ALL,M4_vs_sign_flip,expect_control_degrade_when_signed,M4_TxG_compatibility,C6_sign_flip,0.724835499373417,0.26557202344023206,0.4592634759331849
overall_secondary,ALL,ALL,M4_vs_horizontal_frame_swap,expect_control_degrade_for_horizontal,M4_TxG_compatibility,C7_horizontal_frame_swap,0.724835499373417,0.6449380026154311,0.07989749675798585
route_family,relative_horizontal,ALL,M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_T_semantic_only,0.7195682002313144,0.5011472250103299,0.21842097522098447
route_family,relative_horizontal,ALL,M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_G_geometry_only,0.7195682002313144,0.5,0.2195682002313144
route_family,relative_horizontal,ALL,M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.7195682002313144,0.5003093081378198,0.21925889209349458
route_family,relative_horizontal,ALL,M4_vs_wrong_T_within_route,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_within_route,0.7195682002313144,0.2803252147850994,0.439242985446215
route_family,relative_horizontal,ALL,M4_vs_wrong_T_across_route,expect_control_degrade,M4_TxG_compatibility,C2_wrong_T_across_route,0.7195682002313144,0.4329758873811572,0.2865923128501572
