level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
predicate,relative_horizontal,behind,M0_constant,4691,1024,3667,0.5,0.22173432166995227,0.5,0.17917760279965003,0.25027608422875053,0.6936993491940757,1024,3667,0,0
predicate,size_relative,bigger than,M0_constant,170,85,85,0.5,0.5218529784915993,0.5,0.3333333333333333,0.2500002396984871,0.6931476599571519,85,85,0,0
predicate,relative_horizontal,front,M0_constant,4691,1024,3667,0.5,0.22177917958792615,0.5,0.17917760279965003,0.2502760842287504,0.6936993491940757,1024,3667,0,0
predicate,relative_vertical,higher than,M0_constant,390,195,195,0.5,0.4978624495664984,0.5,0.3333333333333333,0.25000023969848695,0.6931476599571494,195,195,0,0
predicate,relative_horizontal,left,M0_constant,4691,1713,2978,0.5,0.36375860178808955,0.5,0.2674890693316677,0.25013226517361786,0.6934117109918764,1713,2978,0,0
predicate,relative_vertical,lower than,M0_constant,390,195,195,0.5,0.5127947822627803,0.5,0.3333333333333333,0.25000023969848695,0.6931476599571493,195,195,0,0
predicate,support_contact,lying on,M0_constant,1589,232,1357,0.5,0.15378563303503032,0.5,0.12740252608456892,0.2503468658072725,0.6938409123962727,232,1357,0,0
predicate,relative_horizontal,right,M0_constant,4691,1713,2978,0.5,0.3631630324548079,0.5,0.2674890693316677,0.25013226517361775,0.6934117109918763,1713,2978,0,0
predicate,size_relative,smaller than,M0_constant,170,85,85,0.5,0.49794525359590014,0.5,0.3333333333333333,0.2500002396984871,0.6931476599571519,85,85,0,0
predicate,support_contact,standing on,M0_constant,1589,1357,232,0.5,0.8495933331853589,0.5,0.46062457569585874,0.24965361358971086,0.6924544075180334,1357,232,0,0
predicate,relative_horizontal,behind,M1_T_semantic_only,4691,1024,3667,0.5168287257976547,0.23504412068554456,0.5027643083583311,0.28191178963240443,0.25293875925464804,0.6987205234949766,904,3217,450,120
predicate,size_relative,bigger than,M1_T_semantic_only,170,85,85,0.5,0.5294861402902735,0.5,0.37916219119226635,0.25039715948421565,0.6939425002081583,5,5,80,80
predicate,relative_horizontal,front,M1_T_semantic_only,4691,1024,3667,0.5169212688761249,0.23462391003249902,0.5047702960952414,0.469150418457735,0.2398227040533351,0.6724426854743465,43,119,3548,981
predicate,relative_vertical,higher than,M1_T_semantic_only,390,195,195,0.5,0.4939553701695068,0.5,0.4963943024018118,0.25029192684771845,0.6937319820318086,81,81,114,114
predicate,relative_horizontal,left,M1_T_semantic_only,4691,1713,2978,0.49062917907033365,0.3568614966425715,0.4971893516062724,0.3504421677882166,0.25497901125340894,0.7033541122646891,1517,2654,324,196
predicate,relative_vertical,lower than,M1_T_semantic_only,390,195,195,0.5,0.5193766578666807,0.5,0.4963943024018118,0.25027698550338173,0.6937016522200227,81,81,114,114
predicate,support_contact,lying on,M1_T_semantic_only,1589,232,1357,0.3857472746677509,0.18907322335826396,0.5165806927044952,0.1627276349102312,0.27838377007170784,0.7493436853268751,232,1312,45,0
predicate,relative_horizontal,right,M1_T_semantic_only,4691,1713,2978,0.4907484620629116,0.35712078137477393,0.496629201809573,0.40892646631699436,0.2454460205892724,0.6844340964040021,50,107,2871,1663
predicate,size_relative,smaller than,M1_T_semantic_only,170,85,85,0.5,0.4928475685149846,0.5,0.4949494949494949,0.2501805800561255,0.6935086120981254,34,34,51,51
predicate,support_contact,standing on,M1_T_semantic_only,1589,1357,232,0.6142527253322492,0.8617526084518966,0.5,0.12740252608456892,0.2938353974783927,0.7850730461328509,0,0,232,1357
predicate,relative_horizontal,behind,M2_G_geometry_only,4691,1024,3667,0.5090529767180256,0.22280414706451737,0.5,0.43874132567599905,0.24887645335319952,0.6909000752879259,0,0,3667,1024
predicate,size_relative,bigger than,M2_G_geometry_only,170,85,85,0.9995847750865052,0.999591138686712,0.5,0.3333333333333333,0.25000083116107835,0.6931488428743533,0,0,85,85
predicate,relative_horizontal,front,M2_G_geometry_only,4691,1024,3667,0.49094702328197437,0.2155403610972997,0.5,0.43874132567599905,0.24887647745537728,0.690900123493055,0,0,3667,1024
predicate,relative_vertical,higher than,M2_G_geometry_only,390,195,195,0.7233662064431295,0.7482328902297279,0.6564102564102564,0.6456372562315225,0.24178271017701725,0.6766766717215076,162,101,94,33
predicate,relative_horizontal,left,M2_G_geometry_only,4691,1713,2978,0.24029416734590342,0.24584740391212806,0.5,0.3883165992958665,0.24946489158818483,0.6920769580545177,0,0,2978,1713
predicate,relative_vertical,lower than,M2_G_geometry_only,390,195,195,0.27663379355687046,0.3711134863424965,0.3435897435897436,0.3230084895169384,0.2593747426481345,0.7119393893557383,101,162,33,94
predicate,support_contact,lying on,M2_G_geometry_only,1589,232,1357,0.3511676365207227,0.10898228102925403,0.3652850481538892,0.33196124912052827,0.25064991448006124,0.6944465289067183,77,816,541,155
predicate,relative_horizontal,right,M2_G_geometry_only,4691,1713,2978,0.7597058326540965,0.5926613782902344,0.5,0.3883165992958665,0.2494637861256815,0.6920747470940866,0,0,2978,1713
predicate,size_relative,smaller than,M2_G_geometry_only,170,85,85,0.0004152249134948097,0.30979174746049243,0.5,0.3333333333333333,0.2500040733897026,0.6931553273952091,0,0,85,85
predicate,support_contact,standing on,M2_G_geometry_only,1589,1357,232,0.6488323634792773,0.9049518207251094,0.6347149518461108,0.5296925287356322,0.24949272904279357,0.6921336397435776,816,77,155,541
predicate,relative_horizontal,behind,M3_T_plus_G_concat,4691,1024,3667,0.5416577008624216,0.2533671471850124,0.49737710279179165,0.3576262263412049,0.2515612491855255,0.6959545977047997,762,2748,919,262
predicate,size_relative,bigger than,M3_T_plus_G_concat,170,85,85,0.3802076124567474,0.4398460713419105,0.5,0.45469640363787317,0.250662523848977,0.6944749106253518,18,18,67,67
predicate,relative_horizontal,front,M3_T_plus_G_concat,4691,1024,3667,0.4731308162326152,0.2132087710361391,0.5111013079066675,0.4873934851742764,0.23858201664117742,0.6699476217872046,73,180,3487,951
predicate,relative_vertical,higher than,M3_T_plus_G_concat,390,195,195,0.7836949375410914,0.7744795307070985,0.6974358974358974,0.695118719525122,0.2409033424286931,0.674898529672164,153,76,119,42
predicate,relative_horizontal,left,M3_T_plus_G_concat,4691,1713,2978,0.5565097541535377,0.415185787232898,0.49811146696713826,0.3597806333197627,0.2542783745497947,0.7019729401898607,1496,2612,366,217
predicate,relative_vertical,lower than,M3_T_plus_G_concat,390,195,195,0.21630506245890863,0.3507482745047684,0.34102564102564104,0.3304564492748783,0.2600492845896634,0.713302916153526,42,104,91,153
predicate,support_contact,lying on,M3_T_plus_G_concat,1589,232,1357,0.37466648031916244,0.12577035706887751,0.5165806927044952,0.1627276349102312,0.2767774153642002,0.7460901479453018,232,1312,45,0
predicate,relative_horizontal,right,M3_T_plus_G_concat,4691,1713,2978,0.4326451969041702,0.3202044254177779,0.4999922568969485,0.3902804885660114,0.2449664242512555,0.6835020757475269,4,7,2971,1709
predicate,size_relative,smaller than,M3_T_plus_G_concat,170,85,85,0.6197923875432526,0.6040285956904634,0.5,0.47786811201445345,0.2503484967101394,0.6938448483344009,25,25,60,60
predicate,support_contact,standing on,M3_T_plus_G_concat,1589,1357,232,0.6253335196808375,0.8810913019854888,0.501105379513633,0.12981864362906878,0.2956931560434577,0.7889991689715885,3,0,232,1354
predicate,relative_horizontal,behind,M4_TxG_compatibility,4691,1024,3667,0.6699290653974639,0.30079693613671005,0.6695574283729888,0.593009899873987,0.28674013631153217,1.12454251874428,753,1453,2214,271
predicate,size_relative,bigger than,M4_TxG_compatibility,170,85,85,0.9995847750865052,0.999591138686712,0.9882352941176471,0.9882352941176471,0.06463228063554077,0.27056602410340613,84,1,84,1
predicate,relative_horizontal,front,M4_TxG_compatibility,4691,1024,3667,0.6699378536610309,0.3008040897820154,0.6678623587486365,0.6007011257262347,0.27818464555871564,1.0902462383161675,723,1358,2309,301
predicate,relative_vertical,higher than,M4_TxG_compatibility,390,195,195,0.9954766600920447,0.9953953353730034,0.958974358974359,0.9589214240572994,0.07464474565687079,0.26557760566233873,194,15,180,1
predicate,relative_horizontal,left,M4_TxG_compatibility,4691,1713,2978,0.7684625961075912,0.5977057010175251,0.730301153781163,0.7089721294755345,0.21738153401081195,0.8102645601384502,1351,977,2001,362
predicate,relative_vertical,lower than,M4_TxG_compatibility,390,195,195,0.9952136752136752,0.995310888804456,0.9564102564102563,0.9563456790123457,0.07382510266814554,0.26182280935424107,179,1,194,16
