family,control,ready,predicate_count,sampled_g_e_features,blocks_metric_freeze
relative_horizontal,wrong_predicate_within_route,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_horizontal,wrong_predicate_across_route,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_horizontal,shuffled_geometry_global,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_horizontal,shuffled_geometry_within_family,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_horizontal,subject_object_swap,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_horizontal,sign_flip_where_applicable,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_horizontal,horizontal_frame_swap,True,4,abs_center_delta_x; abs_center_delta_y; center_delta_x; center_delta_y; normalized_center_delta_x; normalized_center_delta_y; xy_center_distance,False
relative_vertical,wrong_predicate_within_route,True,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
relative_vertical,wrong_predicate_across_route,True,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
relative_vertical,shuffled_geometry_global,True,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
relative_vertical,shuffled_geometry_within_family,True,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
relative_vertical,subject_object_swap,True,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
relative_vertical,sign_flip_where_applicable,True,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
relative_vertical,horizontal_frame_swap,False,2,abs_center_delta_z; center_delta_z; normalized_center_delta_z; object_bottom_z; object_top_z; subject_bottom_z; subject_top_z,False
size_relative,wrong_predicate_within_route,True,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
size_relative,wrong_predicate_across_route,True,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
size_relative,shuffled_geometry_global,True,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
size_relative,shuffled_geometry_within_family,True,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
size_relative,subject_object_swap,True,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
size_relative,sign_flip_where_applicable,True,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
size_relative,horizontal_frame_swap,False,2,log_footprint_area_ratio_s_over_o; log_height_ratio_s_over_o; log_volume_ratio_s_over_o; object_footprint_area; object_height; object_volume; subject_footprint_area; subject_height; subject_volume,False
support_contact,wrong_predicate_within_route,True,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
support_contact,wrong_predicate_across_route,True,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
support_contact,shuffled_geometry_global,True,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
support_contact,shuffled_geometry_within_family,True,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
support_contact,subject_object_swap,True,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
support_contact,sign_flip_where_applicable,True,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
support_contact,horizontal_frame_swap,False,2,abs_surface_gap_subject_bottom_to_object_top; center_delta_z; object_vertical_extent_ratio; subject_vertical_extent_ratio; support_contact_likelihood_proxy; surface_gap_subject_bottom_to_object_top; xy_overlap_max_ratio; xy_overlap_min_ratio,False
