family,probe,scope,rows,unique_values,max_bucket_rows,pure_value_count,majority_accuracy,risk,blocks_metric_freeze,blocks_family_main_claim
ALL,route_family_only,metadata_only,23062,4,18764,0,0.669456,low,False,False
relative_horizontal,route_family_only,metadata_only,18764,1,18764,0,0.708271,low,False,False
relative_vertical,route_family_only,metadata_only,780,1,780,0,0.5,low,False,False
size_relative,route_family_only,metadata_only,340,1,340,0,0.5,low,False,False
support_contact,route_family_only,metadata_only,3178,1,3178,0,0.5,low,False,False
ALL,predicate_only,C_e_T,23062,10,4691,0,0.718238,low,False,False
relative_horizontal,predicate_only,C_e_T,18764,4,4691,0,0.708271,low,False,False
relative_vertical,predicate_only,C_e_T,780,2,390,0,0.5,low,False,False
size_relative,predicate_only,C_e_T,340,2,170,0,0.5,low,False,False
support_contact,predicate_only,C_e_T,3178,2,1589,0,0.853996,medium,False,False
ALL,subject_class_only,C_e_T,23062,146,2366,0,0.669456,low,False,False
relative_horizontal,subject_class_only,C_e_T,18764,140,1774,0,0.708271,low,False,False
relative_vertical,subject_class_only,C_e_T,780,9,252,0,0.5,low,False,False
size_relative,subject_class_only,C_e_T,340,8,144,0,0.5,low,False,False
support_contact,subject_class_only,C_e_T,3178,105,344,0,0.5,low,False,False
ALL,object_class_only,C_e_T,23062,141,2410,0,0.669456,low,False,False
relative_horizontal,object_class_only,C_e_T,18764,140,1774,0,0.708271,low,False,False
relative_vertical,object_class_only,C_e_T,780,9,252,0,0.5,low,False,False
size_relative,object_class_only,C_e_T,340,8,144,0,0.5,low,False,False
support_contact,object_class_only,C_e_T,3178,36,2358,0,0.5,low,False,False
ALL,class_pair,C_e_T,23062,1325,1900,0,0.669456,low,False,False
relative_horizontal,class_pair,C_e_T,18764,1172,1504,0,0.708271,low,False,False
relative_vertical,class_pair,C_e_T,780,9,252,0,0.5,low,False,False
size_relative,class_pair,C_e_T,340,8,144,0,0.5,low,False,False
support_contact,class_pair,C_e_T,3178,175,342,0,0.5,low,False,False
ALL,predicate_x_class_pair,C_e_T,23062,5072,376,4054,0.836267,medium,False,False
relative_horizontal,predicate_x_class_pair,C_e_T,18764,4688,376,3712,0.829674,medium,False,False
relative_vertical,predicate_x_class_pair,C_e_T,780,18,126,0,0.5,low,False,False
size_relative,predicate_x_class_pair,C_e_T,340,16,72,0,0.5,low,False,False
support_contact,predicate_x_class_pair,C_e_T,3178,350,171,342,0.993707,high,False,True
ALL,scan_id,metadata_only,23062,157,656,0,0.669456,low,False,False
relative_horizontal,scan_id,metadata_only,18764,155,516,0,0.708271,low,False,False
relative_vertical,scan_id,metadata_only,780,63,72,0,0.5,low,False,False
size_relative,scan_id,metadata_only,340,35,32,0,0.5,low,False,False
support_contact,scan_id,metadata_only,3178,156,70,0,0.5,low,False,False
ALL,subject_id,metadata_only,23062,106,752,0,0.669456,low,False,False
relative_horizontal,subject_id,metadata_only,18764,104,600,0,0.708271,low,False,False
relative_vertical,subject_id,metadata_only,780,64,36,0,0.5,low,False,False
size_relative,subject_id,metadata_only,340,52,32,0,0.5,low,False,False
support_contact,subject_id,metadata_only,3178,100,118,0,0.5,low,False,False
ALL,object_id,metadata_only,23062,104,2328,0,0.669456,low,False,False
relative_horizontal,object_id,metadata_only,18764,104,600,0,0.708271,low,False,False
relative_vertical,object_id,metadata_only,780,64,36,0,0.5,low,False,False
size_relative,object_id,metadata_only,340,52,32,0,0.5,low,False,False
support_contact,object_id,metadata_only,3178,42,2264,0,0.5,low,False,False
ALL,directed_pair,metadata_only,23062,5730,8,0,0.669456,low,False,False
relative_horizontal,directed_pair,metadata_only,18764,3908,6,0,0.708271,low,False,False
relative_vertical,directed_pair,metadata_only,780,390,2,0,0.5,low,False,False
size_relative,directed_pair,metadata_only,340,170,2,0,0.5,low,False,False
support_contact,directed_pair,metadata_only,3178,1589,2,0,0.5,low,False,False
ALL,cv_or_group_key,metadata_only,23062,6057,6,0,0.669456,low,False,False
relative_horizontal,cv_or_group_key,metadata_only,18764,3908,6,0,0.708271,low,False,False
relative_vertical,cv_or_group_key,metadata_only,780,390,2,0,0.5,low,False,False
size_relative,cv_or_group_key,metadata_only,340,170,2,0,0.5,low,False,False
support_contact,cv_or_group_key,metadata_only,3178,1589,2,0,0.5,low,False,False
