scope,metric_name,bin,lo,hi,count,avg_confidence,empirical_accuracy
official_validation_observable,p_rel_calibrated,0,0.0,0.1,8897,0.0024711632519376367,0.12228841182421041
official_validation_observable,p_rel_calibrated,1,0.1,0.2,639,0.14285714285714257,0.14553990610328638
official_validation_observable,p_rel_calibrated,2,0.2,0.3,0,,
official_validation_observable,p_rel_calibrated,3,0.3,0.4,0,,
official_validation_observable,p_rel_calibrated,4,0.4,0.5,2685,0.45003430714911924,0.33370577281191804
official_validation_observable,p_rel_calibrated,5,0.5,0.6,1819,0.5,0.42935678944474986
official_validation_observable,p_rel_calibrated,6,0.6,0.7,1205,0.6153846153846319,0.4746887966804979
official_validation_observable,p_rel_calibrated,7,0.7,0.8,0,,
official_validation_observable,p_rel_calibrated,8,0.8,0.9,540,0.8125,0.6
official_validation_observable,p_rel_calibrated,9,0.9,1.0,7277,0.9934761933209164,0.5316751408547479
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,0,0.0,0.1,115310,1.000000000000821e-06,0.0
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,1,0.1,0.2,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,2,0.2,0.3,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,3,0.3,0.4,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,4,0.4,0.5,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,5,0.5,0.6,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,6,0.6,0.7,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,7,0.7,0.8,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,8,0.8,0.9,0,,
official_validation_all_plus_wrong_pair_control,p_obs_calibrated,9,0.9,1.0,23062,0.9999989999997271,1.0
