coverage_pct,coverage,risk,decided_rows,errors
1,0.010002023530772121,0.31647398843930635,1384,438
5,0.05000289075824589,0.3152189622777858,6919,2181
10,0.09999855462087706,0.3174098431740984,13837,4392
20,0.19999710924175412,0.2663872226638722,27674,7372
30,0.3000028907582459,0.1775872037001349,41512,7372
40,0.40000144537912297,0.13319120489981753,55349,7372
50,0.5,0.10655334894342786,69186,7372
60,0.599998554620877,0.08879467135613023,83023,7372
70,0.6999971092417541,0.07610984926698328,96860,7372
80,0.8000028907582459,0.06659560244990877,110698,7372
90,0.900001445379123,0.05919620990083109,124535,7372
100,1.0,0.05327667447171393,138372,7372
