coverage_pct,coverage,risk,decided_rows,errors
1,0.009999132772526233,0.23330442324371206,1153,269
5,0.050004336137368835,0.3078390565383281,5766,1775
10,0.1,0.31133466308212643,11531,3590
20,0.2,0.3176220622669326,23062,7325
30,0.3,0.2117480415112884,34593,7325
40,0.4,0.1588110311334663,46124,7325
50,0.5,0.12704882490677305,57655,7325
60,0.6,0.1058740207556442,69186,7325
70,0.7,0.09074916064769503,80717,7325
80,0.8,0.07940551556673316,92248,7325
90,0.9,0.0705826805037628,103779,7325
100,1.0,0.06352441245338653,115310,7325
