coverage_pct,coverage,risk,decided_rows,errors
1,0.011320754716981131,0.6666666666666666,3,2
5,0.04905660377358491,0.3076923076923077,13,4
10,0.09811320754716982,0.4230769230769231,26,11
20,0.2,0.7169811320754716,53,38
30,0.3018867924528302,0.7625,80,61
40,0.4,0.8207547169811321,106,87
50,0.4981132075471698,0.8106060606060606,132,107
60,0.6,0.7924528301886793,159,126
70,0.7018867924528301,0.7096774193548387,186,132
80,0.8,0.6698113207547169,212,142
90,0.8981132075471698,0.6680672268907563,238,159
100,1.0,0.6641509433962264,265,176
