score_id,bin,lo,hi,rows,confidence,accuracy
p_obs_learned,0,0.0,0.1,130,0.09131415198560412,0.0
p_obs_learned,1,0.1,0.2,0,,
p_obs_learned,2,0.2,0.3,0,,
p_obs_learned,3,0.3,0.4,0,,
p_obs_learned,4,0.4,0.5,0,,
p_obs_learned,5,0.5,0.6,0,,
p_obs_learned,6,0.6,0.7,0,,
p_obs_learned,7,0.7,0.8,0,,
p_obs_learned,8,0.8,0.9,0,,
p_obs_learned,9,0.9,1.0,135,0.9912248243949374,1.0
p_obs_qe_state_code,0,0.0,0.1,4,0.0,0.0
p_obs_qe_state_code,1,0.1,0.2,0,,
p_obs_qe_state_code,2,0.2,0.3,0,,
p_obs_qe_state_code,3,0.3,0.4,126,0.3500000000000008,0.0
p_obs_qe_state_code,4,0.4,0.5,0,,
p_obs_qe_state_code,5,0.5,0.6,0,,
p_obs_qe_state_code,6,0.6,0.7,0,,
p_obs_qe_state_code,7,0.7,0.8,0,,
p_obs_qe_state_code,8,0.8,0.9,0,,
p_obs_qe_state_code,9,0.9,1.0,135,1.0,1.0
p_obs_legacy_all_sufficient,0,0.0,0.1,0,,
p_obs_legacy_all_sufficient,1,0.1,0.2,0,,
p_obs_legacy_all_sufficient,2,0.2,0.3,0,,
p_obs_legacy_all_sufficient,3,0.3,0.4,0,,
p_obs_legacy_all_sufficient,4,0.4,0.5,0,,
p_obs_legacy_all_sufficient,5,0.5,0.6,0,,
p_obs_legacy_all_sufficient,6,0.6,0.7,0,,
p_obs_legacy_all_sufficient,7,0.7,0.8,0,,
p_obs_legacy_all_sufficient,8,0.8,0.9,0,,
p_obs_legacy_all_sufficient,9,0.9,1.0,265,1.0,0.5094339622641509
