score_id,coverage_pct,coverage,selected_rows,unobservable_rows,risk
p_obs_learned,1,0.011320754716981131,3,0,0.0
p_obs_learned,5,0.04905660377358491,13,0,0.0
p_obs_learned,10,0.09811320754716982,26,0,0.0
p_obs_learned,20,0.2,53,0,0.0
p_obs_learned,30,0.3018867924528302,80,0,0.0
p_obs_learned,40,0.4,106,0,0.0
p_obs_learned,50,0.4981132075471698,132,0,0.0
p_obs_learned,60,0.6,159,24,0.1509433962264151
p_obs_learned,70,0.7018867924528301,186,51,0.27419354838709675
p_obs_learned,80,0.8,212,77,0.3632075471698113
p_obs_learned,90,0.8981132075471698,238,103,0.4327731092436975
p_obs_learned,100,1.0,265,130,0.49056603773584906
p_obs_qe_state_code,1,0.011320754716981131,3,0,0.0
p_obs_qe_state_code,5,0.04905660377358491,13,0,0.0
p_obs_qe_state_code,10,0.09811320754716982,26,0,0.0
p_obs_qe_state_code,20,0.2,53,0,0.0
p_obs_qe_state_code,30,0.3018867924528302,80,0,0.0
p_obs_qe_state_code,40,0.4,106,0,0.0
p_obs_qe_state_code,50,0.4981132075471698,132,0,0.0
p_obs_qe_state_code,60,0.6,159,24,0.1509433962264151
p_obs_qe_state_code,70,0.7018867924528301,186,51,0.27419354838709675
p_obs_qe_state_code,80,0.8,212,77,0.3632075471698113
p_obs_qe_state_code,90,0.8981132075471698,238,103,0.4327731092436975
p_obs_qe_state_code,100,1.0,265,130,0.49056603773584906
p_obs_legacy_all_sufficient,1,0.011320754716981131,3,2,0.6666666666666666
p_obs_legacy_all_sufficient,5,0.04905660377358491,13,4,0.3076923076923077
p_obs_legacy_all_sufficient,10,0.09811320754716982,26,11,0.4230769230769231
p_obs_legacy_all_sufficient,20,0.2,53,38,0.7169811320754716
p_obs_legacy_all_sufficient,30,0.3018867924528302,80,59,0.7375
p_obs_legacy_all_sufficient,40,0.4,106,81,0.7641509433962265
p_obs_legacy_all_sufficient,50,0.4981132075471698,132,101,0.7651515151515151
p_obs_legacy_all_sufficient,60,0.6,159,120,0.7547169811320755
p_obs_legacy_all_sufficient,70,0.7018867924528301,186,120,0.6451612903225806
p_obs_legacy_all_sufficient,80,0.8,212,122,0.5754716981132075
p_obs_legacy_all_sufficient,90,0.8981132075471698,238,126,0.5294117647058824
p_obs_legacy_all_sufficient,100,1.0,265,130,0.49056603773584906
