label_type,label,count
decision_label,abstain,120056
decision_label,accept,11099
decision_label,reject,18915
obs_label,0,120056
obs_label,1,30014
rel_label,0,18915
rel_label,1,11099
control_type,low_visibility_control,30014
control_type,missing_mesh_control,30014
control_type,no_view_control,30014
control_type,observed_original,30014
control_type,shuffled_view_control,30014
eval_split,internal_dev,5220
eval_split,internal_heldout,5200
eval_split,internal_train,24340
eval_split,official_validation,115310
