level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_source_x_G_only,5,False,548,335,1440,183,0.12708333333333333,2734,4.989051094890511,2734,698,0.2553035844915874
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_source_x_G_only,10,False,548,335,1440,351,0.24375,5412,9.875912408759124,5412,1249,0.23078344419807834
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_source_x_G_only,20,False,548,335,1440,616,0.42777777777777776,10526,19.208029197080293,10526,2012,0.19114573437203117
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_source_x_G_only,50,False,548,335,1440,1106,0.7680555555555556,22140,40.4014598540146,22140,3512,0.15862691960252936
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_source_x_G_only,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_source_x_TG_concat,5,False,548,335,1440,187,0.12986111111111112,2734,4.989051094890511,2734,670,0.24506217995610827
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_source_x_TG_concat,10,False,548,335,1440,356,0.24722222222222223,5412,9.875912408759124,5412,1215,0.2245011086474501
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_source_x_TG_concat,20,False,548,335,1440,613,0.42569444444444443,10526,19.208029197080293,10526,1996,0.18962568877066313
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_source_x_TG_concat,50,False,548,335,1440,1114,0.7736111111111111,22140,40.4014598540146,22140,3469,0.1566847335140018
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_source_x_TG_concat,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C1_source_x_shuffled_Ce,5,False,548,335,1440,188,0.13055555555555556,2734,4.989051094890511,2734,685,0.25054864667154353
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C1_source_x_shuffled_Ce,10,False,548,335,1440,360,0.25,5412,9.875912408759124,5412,1219,0.22524020694752403
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C1_source_x_shuffled_Ce,20,False,548,335,1440,620,0.4305555555555556,10526,19.208029197080293,10526,1994,0.1894356830704921
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C1_source_x_shuffled_Ce,50,False,548,335,1440,1119,0.7770833333333333,22140,40.4014598540146,22140,3492,0.15772357723577235
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C1_source_x_shuffled_Ce,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C2_source_x_wrong_T_Ce,5,False,548,335,1440,195,0.13541666666666666,2734,4.989051094890511,2734,685,0.25054864667154353
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C2_source_x_wrong_T_Ce,10,False,548,335,1440,361,0.25069444444444444,5412,9.875912408759124,5412,1252,0.23133776792313376
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C2_source_x_wrong_T_Ce,20,False,548,335,1440,614,0.4263888888888889,10526,19.208029197080293,10526,1998,0.18981569447083413
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C2_source_x_wrong_T_Ce,50,False,548,335,1440,1102,0.7652777777777777,22140,40.4014598540146,22140,3484,0.15736224028906956
source_family,open3dsg_recovery_relaxed_views_min2,proximity,C2_source_x_wrong_T_Ce,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score,5,False,548,335,1440,183,0.12708333333333333,2734,4.989051094890511,2734,698,0.2553035844915874
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score,10,False,548,335,1440,351,0.24375,5412,9.875912408759124,5412,1249,0.23078344419807834
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score,20,False,548,335,1440,616,0.42777777777777776,10526,19.208029197080293,10526,2012,0.19114573437203117
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score,50,False,548,335,1440,1106,0.7680555555555556,22140,40.4014598540146,22140,3512,0.15862691960252936
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S1_Ce_only,5,False,548,335,1440,198,0.1375,2734,4.989051094890511,2734,586,0.2143379663496708
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S1_Ce_only,10,False,548,335,1440,352,0.24444444444444444,5412,9.875912408759124,5412,1072,0.19807834441980784
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S1_Ce_only,20,False,548,335,1440,605,0.4201388888888889,10526,19.208029197080293,10526,1867,0.1773703211096333
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S1_Ce_only,50,False,548,335,1440,1117,0.7756944444444445,22140,40.4014598540146,22140,3550,0.16034327009936766
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S1_Ce_only,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_source_x_Ce,5,False,548,335,1440,195,0.13541666666666666,2734,4.989051094890511,2734,685,0.25054864667154353
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_source_x_Ce,10,False,548,335,1440,361,0.25069444444444444,5412,9.875912408759124,5412,1252,0.23133776792313376
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_source_x_Ce,20,False,548,335,1440,614,0.4263888888888889,10526,19.208029197080293,10526,1998,0.18981569447083413
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_source_x_Ce,50,False,548,335,1440,1102,0.7652777777777777,22140,40.4014598540146,22140,3484,0.15736224028906956
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_source_x_Ce,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,vlsat_full_validation,proximity,A1_source_x_G_only,5,False,548,386,1766,1078,0.6104190260475651,2740,5.0,2740,21,0.007664233576642336
source_family,vlsat_full_validation,proximity,A1_source_x_G_only,10,False,548,386,1766,1438,0.8142695356738392,5480,10.0,5480,141,0.02572992700729927
source_family,vlsat_full_validation,proximity,A1_source_x_G_only,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,798,0.07281021897810219
source_family,vlsat_full_validation,proximity,A1_source_x_G_only,50,False,548,386,1766,1726,0.9773499433748585,26370,48.12043795620438,26370,5280,0.20022753128555176
source_family,vlsat_full_validation,proximity,A1_source_x_G_only,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,A2_source_x_TG_concat,5,False,548,386,1766,1070,0.6058890147225368,2740,5.0,2740,23,0.008394160583941606
source_family,vlsat_full_validation,proximity,A2_source_x_TG_concat,10,False,548,386,1766,1433,0.8114382785956965,5480,10.0,5480,142,0.025912408759124088
source_family,vlsat_full_validation,proximity,A2_source_x_TG_concat,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,798,0.07281021897810219
source_family,vlsat_full_validation,proximity,A2_source_x_TG_concat,50,False,548,386,1766,1727,0.977916194790487,26370,48.12043795620438,26370,5142,0.19499431171786122
source_family,vlsat_full_validation,proximity,A2_source_x_TG_concat,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,C1_source_x_shuffled_Ce,5,False,548,386,1766,1074,0.608154020385051,2740,5.0,2740,21,0.007664233576642336
source_family,vlsat_full_validation,proximity,C1_source_x_shuffled_Ce,10,False,548,386,1766,1436,0.8131370328425821,5480,10.0,5480,138,0.025182481751824817
source_family,vlsat_full_validation,proximity,C1_source_x_shuffled_Ce,20,False,548,386,1766,1614,0.9139297848244621,10960,20.0,10960,798,0.07281021897810219
source_family,vlsat_full_validation,proximity,C1_source_x_shuffled_Ce,50,False,548,386,1766,1723,0.9756511891279728,26370,48.12043795620438,26370,5173,0.1961698900265453
source_family,vlsat_full_validation,proximity,C1_source_x_shuffled_Ce,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,C2_source_x_wrong_T_Ce,5,False,548,386,1766,1068,0.6047565118912798,2740,5.0,2740,22,0.008029197080291971
source_family,vlsat_full_validation,proximity,C2_source_x_wrong_T_Ce,10,False,548,386,1766,1432,0.8108720271800679,5480,10.0,5480,143,0.026094890510948904
source_family,vlsat_full_validation,proximity,C2_source_x_wrong_T_Ce,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,792,0.07226277372262774
source_family,vlsat_full_validation,proximity,C2_source_x_wrong_T_Ce,50,False,548,386,1766,1722,0.9750849377123443,26370,48.12043795620438,26370,5160,0.1956769055745165
source_family,vlsat_full_validation,proximity,C2_source_x_wrong_T_Ce,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,S0_source_score,5,False,548,386,1766,1078,0.6104190260475651,2740,5.0,2740,21,0.007664233576642336
source_family,vlsat_full_validation,proximity,S0_source_score,10,False,548,386,1766,1438,0.8142695356738392,5480,10.0,5480,141,0.02572992700729927
