level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D0_source_score,5,548,430,4082,21,0.00514453699167075,2740,5.0,2740,1345,0.4908759124087591
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D0_source_score,10,548,430,4082,87,0.021313081822635964,5476,9.992700729927007,5476,2658,0.485390796201607
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D0_source_score,20,548,430,4082,270,0.06614404703576678,10936,19.956204379562045,10936,5319,0.48637527432333577
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D0_source_score,50,548,430,4082,719,0.1761391474767271,26924,49.13138686131387,26924,13302,0.49405734660525924
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D0_source_score,100,548,430,4082,1635,0.4005389514943655,51164,93.36496350364963,51164,25622,0.5007817997029161
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D1_source_x_world_xy_frame,5,548,430,4082,52,0.012738853503184714,2740,5.0,2740,2,0.00072992700729927
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D1_source_x_world_xy_frame,10,548,430,4082,149,0.03650171484566389,5476,9.992700729927007,5476,8,0.0014609203798392988
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D1_source_x_world_xy_frame,20,548,430,4082,401,0.09823615874571288,10936,19.956204379562045,10936,114,0.010424286759326993
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D1_source_x_world_xy_frame,50,548,430,4082,1335,0.3270455658990691,26924,49.13138686131387,26924,1343,0.049881146932105186
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D1_source_x_world_xy_frame,100,548,430,4082,2395,0.5867221950024498,51164,93.36496350364963,51164,6891,0.13468454381987335
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D2_source_x_axis_swap,5,548,430,4082,103,0.025232729054385106,2740,5.0,2740,2238,0.8167883211678832
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D2_source_x_axis_swap,10,548,430,4082,225,0.05512003919647232,5476,9.992700729927007,5476,4402,0.8038714390065741
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D2_source_x_axis_swap,20,548,430,4082,469,0.11489465948064674,10936,19.956204379562045,10936,8602,0.7865764447695685
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D2_source_x_axis_swap,50,548,430,4082,1095,0.26825085742283195,26924,49.13138686131387,26924,20364,0.7563512108156292
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D2_source_x_axis_swap,100,548,430,4082,1885,0.46178343949044587,51164,93.36496350364963,51164,34724,0.6786803221014776
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D3_source_x_sign_flip,5,548,430,4082,120,0.02939735423811857,2740,5.0,2740,2738,0.9992700729927008
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D3_source_x_sign_flip,10,548,430,4082,270,0.06614404703576678,5476,9.992700729927007,5476,5468,0.9985390796201608
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D3_source_x_sign_flip,20,548,430,4082,513,0.1256736893679569,10936,19.956204379562045,10936,10823,0.9896671543525969
