level,source_id,route_family,predicate_label,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH0_source_score,5,416,416,1287,0,0.0,0,0.0,0,0,
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH0_source_score,10,416,416,1287,0,0.0,9,0.021634615384615384,9,5,0.5555555555555556
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH0_source_score,20,416,416,1287,1,0.000777000777000777,71,0.17067307692307693,71,37,0.5211267605633803
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH0_source_score,50,416,416,1287,27,0.02097902097902098,862,2.0721153846153846,862,448,0.5197215777262181
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH0_source_score,100,416,416,1287,155,0.12043512043512043,3874,9.3125,3874,1940,0.500774393391843
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH1_source_x_frame_score,5,416,416,1287,1,0.000777000777000777,41,0.0985576923076923,41,0,0.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH1_source_x_frame_score,10,416,416,1287,24,0.018648018648018648,166,0.39903846153846156,166,2,0.012048192771084338
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH1_source_x_frame_score,20,416,416,1287,72,0.055944055944055944,698,1.6778846153846154,698,26,0.03724928366762178
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH1_source_x_frame_score,50,416,416,1287,447,0.3473193473193473,4699,11.295673076923077,4699,318,0.0676739731857842
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH1_source_x_frame_score,100,416,416,1287,975,0.7575757575757576,12183,29.286057692307693,12183,1679,0.13781498809816958
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH2_frame_score_only,5,416,416,1287,34,0.02641802641802642,605,1.4543269230769231,605,0,0.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH2_frame_score_only,10,416,416,1287,102,0.07925407925407925,1434,3.4471153846153846,1434,2,0.001394700139470014
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH2_frame_score_only,20,416,416,1287,245,0.19036519036519037,2790,6.706730769230769,2790,26,0.00931899641577061
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH2_frame_score_only,50,416,416,1287,647,0.5027195027195027,6710,16.129807692307693,6710,329,0.04903129657228018
