source_id,subroute,K,metric,mean,ci_low_95,ci_high_95,n_bootstrap
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH0_source_score|Recall@K,0.09104390527759153,0.07913536133399265,0.1031501211211806,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH0_source_score|Violation@K,0.49040424360737,0.4759871428330353,0.5051251289931067,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH1_source_x_frame_score|Recall@K,0.23594834693889183,0.21064630352490873,0.2627851554728552,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH1_source_x_frame_score|Violation@K,0.010372179477978518,0.005480453050785532,0.015745148297326986,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,delta_Recall@K,0.14490444166130045,0.11960854445316875,0.17084726576105885,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,delta_Violation@K,-0.48003206412939214,-0.49543251645940006,-0.464440194026777,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH0_source_score|Recall@K,0.16592320248923112,0.14932836820506049,0.1837428241519723,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH0_source_score|Violation@K,0.4945761485787226,0.4855027906868046,0.5036842558305107,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH1_source_x_frame_score|Recall@K,0.4360169153365074,0.40074296113446584,0.46850557841562956,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH1_source_x_frame_score|Violation@K,0.028389103920152748,0.020434418191344738,0.03642213911157402,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,delta_Recall@K,0.2700937128472764,0.23508017339023443,0.302732617672462,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,delta_Violation@K,-0.46618704465856914,-0.47861542801288404,-0.4542226312480951,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH0_source_score|Recall@K,0.398202660089467,0.3698257591728928,0.42868871817820203,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH0_source_score|Violation@K,0.5020025718087319,0.4984591869852032,0.5056526777055209,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH1_source_x_frame_score|Recall@K,0.7753436917218159,0.7347049353016765,0.8111741221376457,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH1_source_x_frame_score|Violation@K,0.13491363647584526,0.12043755539464837,0.15070573483855704,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,delta_Recall@K,0.3771410316323481,0.33544793094984177,0.4192321721709903,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,delta_Violation@K,-0.3670889353328861,-0.3820803578072902,-0.3509161224729678,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH0_source_score|Recall@K,0.8151579208504546,0.7895395616293073,0.8391449095056881,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH0_source_score|Violation@K,0.4978996509099401,0.4959527853745822,0.4998215835180619,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH1_source_x_frame_score|Recall@K,0.9119167458887106,0.8838527642372759,0.9376619160696983,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH1_source_x_frame_score|Violation@K,0.395778452487293,0.387522311744165,0.4045603534674443,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,delta_Recall@K,0.09675882503825729,0.0634279270165629,0.12910760721231856,1000
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,delta_Violation@K,-0.10212119842264662,-0.11044600300447545,-0.09352344504311637,1000
vlsat_full_validation,lateral_left_right,10,RH0_source_score|Recall@K,0.689954512299669,0.6631999251194522,0.7158160931682227,1000
vlsat_full_validation,lateral_left_right,10,RH0_source_score|Violation@K,0.2376916058394161,0.20947992700729928,0.26514598540145984,1000
vlsat_full_validation,lateral_left_right,10,RH1_source_x_frame_score|Recall@K,0.6448622046471746,0.6180193759563142,0.6705315855200431,1000
vlsat_full_validation,lateral_left_right,10,RH1_source_x_frame_score|Violation@K,0.1408439781021898,0.1202463503649635,0.1611359489051095,1000
vlsat_full_validation,lateral_left_right,10,delta_Recall@K,-0.04509230765249343,-0.059263223459761816,-0.03235915215507059,1000
vlsat_full_validation,lateral_left_right,10,delta_Violation@K,-0.09684762773722634,-0.10931113138686133,-0.08411952554744527,1000
vlsat_full_validation,lateral_left_right,20,RH0_source_score|Recall@K,0.8889096690992484,0.867994640753828,0.9092807255823362,1000
vlsat_full_validation,lateral_left_right,20,RH0_source_score|Violation@K,0.2581483576642337,0.23202326642335766,0.28485857664233577,1000
vlsat_full_validation,lateral_left_right,20,RH1_source_x_frame_score|Recall@K,0.8455610090376843,0.8236944140124867,0.8676703253737682,1000
vlsat_full_validation,lateral_left_right,20,RH1_source_x_frame_score|Violation@K,0.1585187956204378,0.1387728102189781,0.1780132299270073,1000
vlsat_full_validation,lateral_left_right,20,delta_Recall@K,-0.04334866006156447,-0.05720626815287967,-0.03040151941210167,1000
vlsat_full_validation,lateral_left_right,20,delta_Violation@K,-0.09962956204379551,-0.11058622262773721,-0.08877737226277371,1000
vlsat_full_validation,lateral_left_right,50,RH0_source_score|Recall@K,0.9850841470090553,0.9773506154800411,0.991905491468397,1000
vlsat_full_validation,lateral_left_right,50,RH0_source_score|Violation@K,0.341786381177853,0.3246050869782055,0.36056595746117714,1000
vlsat_full_validation,lateral_left_right,50,RH1_source_x_frame_score|Recall@K,0.9636404279077139,0.9512591500955828,0.9743184099306095,1000
vlsat_full_validation,lateral_left_right,50,RH1_source_x_frame_score|Violation@K,0.21713749256881384,0.20483591709121857,0.23066572444994915,1000
vlsat_full_validation,lateral_left_right,50,delta_Recall@K,-0.02144371910134204,-0.032850677728984395,-0.011627600009822853,1000
vlsat_full_validation,lateral_left_right,50,delta_Violation@K,-0.12464888860903929,-0.13384868586208518,-0.11605491353230714,1000
vlsat_full_validation,lateral_left_right,100,RH0_source_score|Recall@K,0.9953242859596736,0.9916896125855809,0.9986080565265538,1000
vlsat_full_validation,lateral_left_right,100,RH0_source_score|Violation@K,0.4646470184933045,0.46005783282135754,0.46907363592845813,1000
vlsat_full_validation,lateral_left_right,100,RH1_source_x_frame_score|Recall@K,0.9924473866194914,0.9872124056123724,0.9966390770354965,1000
vlsat_full_validation,lateral_left_right,100,RH1_source_x_frame_score|Violation@K,0.309648114400783,0.30466747953411266,0.31556499771771473,1000
vlsat_full_validation,lateral_left_right,100,delta_Recall@K,-0.002876899340183135,-0.008713005131144607,0.002342719546348481,1000
vlsat_full_validation,lateral_left_right,100,delta_Violation@K,-0.15499890409252146,-0.16053669814648275,-0.14917322507202643,1000
