subroute,gate,passed,reason
lateral_left_right,source_violation_nonincrease,True,violation_regression_cells=0
lateral_left_right,recall_loss_not_gt_0p05,True,recall_loss_gt_0p05_cells=0
lateral_left_right,axis_sign_controls_degrade,True,control_failure_cells=0
lateral_left_right,majority_metric_cells,True,wins=15/20
lateral_left_right,strong_majority_metric_cells_70pct,True,wins=15/20
depth_front_behind,source_violation_nonincrease,True,violation_regression_cells=0
depth_front_behind,recall_loss_not_gt_0p05,False,recall_loss_gt_0p05_cells=8
depth_front_behind,axis_sign_controls_degrade,True,control_failure_cells=0
depth_front_behind,majority_metric_cells,True,wins=11/20
depth_front_behind,strong_majority_metric_cells_70pct,False,wins=11/20
