source_id,route_family,subroute,predicates,score_id,K,unit_count,gt_units,gt_total,gt_selected,selected_total,violation_denominator,violation_count,Recall@K,Selected@K_mean,Violation@K
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,5,548,416,2574,117,2738,2738,1353,0.045454545454545456,4.9963503649635035,0.4941563184806428
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,10,548,416,2574,234,5468,5468,2684,0.09090909090909091,9.978102189781023,0.4908558888076079
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,20,548,416,2574,427,10824,10824,5354,0.1658896658896659,19.751824817518248,0.49464153732446414
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,50,548,416,2574,1024,25582,25582,12841,0.3978243978243978,46.68248175182482,0.5019544992572903
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,100,548,416,2574,2097,44280,44280,22046,0.8146853146853147,80.8029197080292,0.49787714543812106
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,5,548,416,2574,295,2738,2738,5,0.11460761460761461,4.9963503649635035,0.0018261504747991235
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,10,548,416,2574,608,5468,5468,56,0.23620823620823622,9.978102189781023,0.010241404535479151
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,20,548,416,2574,1120,10824,10824,307,0.43512043512043513,19.751824817518248,0.02836289726533629
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,50,548,416,2574,1997,25582,25582,3442,0.7758352758352758,46.68248175182482,0.13454772887186303
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,100,548,416,2574,2348,44280,44280,17514,0.9121989121989122,80.8029197080292,0.3955284552845528
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,5,548,416,2574,107,2738,2738,2265,0.04156954156954157,4.9963503649635035,0.827246165084003
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,10,548,416,2574,219,5468,5468,4428,0.08508158508158509,9.978102189781023,0.8098024871982443
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,20,548,416,2574,448,10824,10824,8444,0.17404817404817405,19.751824817518248,0.7801182557280119
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,50,548,416,2574,1016,25582,25582,17399,0.3947163947163947,46.68248175182482,0.6801266515518725
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,100,548,416,2574,1904,44280,44280,24910,0.7397047397047397,80.8029197080292,0.5625564588979223
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,5,548,416,2574,58,2738,2738,2734,0.022533022533022532,4.9963503649635035,0.9985390796201608
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,10,548,416,2574,113,5468,5468,5412,0.043900543900543904,9.978102189781023,0.9897585954645208
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,20,548,416,2574,239,10824,10824,10516,0.09285159285159285,19.751824817518248,0.9715447154471545
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,50,548,416,2574,677,25582,25582,22140,0.263014763014763,46.68248175182482,0.8654522711281369
open3dsg_recovery_relaxed_views_min2,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,100,548,416,2574,1591,44280,44280,26766,0.6181041181041181,80.8029197080292,0.6044715447154472
