family,probe,rows,unique_values,max_bucket_rows,pure_value_count,majority_accuracy,risk,model_input_scope
ALL,route_family,6952,4,2400,0,0.5,low,metadata_only
ALL,predicate_label,6952,10,1200,0,0.5,low,metadata_only
ALL,T_predicate,6952,10,1200,0,0.5,low,C_e_allowed
ALL,T_relation_family,6952,4,2400,0,0.5,low,C_e_allowed
ALL,T_subject_class,6952,17,4800,0,0.501295,low,C_e_allowed
ALL,T_object_class,6952,18,4800,0,0.500288,low,C_e_allowed
ALL,T_class_pair,6952,26,4800,0,0.501295,low,C_e_allowed
ALL,T_predicate_class_pair,6952,54,1200,0,0.516974,low,C_e_allowed
ALL,cv_group_id_metadata_only,6952,3684,15,643,0.552934,low,metadata_only
ALL,source_artifact_metadata_only,6952,4,2400,0,0.5,low,metadata_only
relative_horizontal,route_family,2400,1,2400,0,0.5,low,metadata_only
relative_horizontal,predicate_label,2400,4,600,0,0.5,low,metadata_only
relative_horizontal,T_predicate,2400,4,600,0,0.5,low,C_e_allowed
relative_horizontal,T_relation_family,2400,1,2400,0,0.5,low,C_e_allowed
relative_horizontal,T_subject_class,2400,1,2400,0,0.5,low,C_e_allowed
relative_horizontal,T_object_class,2400,1,2400,0,0.5,low,C_e_allowed
relative_horizontal,T_class_pair,2400,1,2400,0,0.5,low,C_e_allowed
relative_horizontal,T_predicate_class_pair,2400,4,600,0,0.5,low,C_e_allowed
relative_horizontal,cv_group_id_metadata_only,2400,1200,2,0,0.5,low,metadata_only
relative_horizontal,source_artifact_metadata_only,2400,1,2400,0,0.5,low,metadata_only
relative_vertical,route_family,1512,1,1512,0,0.5,low,metadata_only
relative_vertical,predicate_label,1512,2,760,0,0.5,low,metadata_only
relative_vertical,T_predicate,1512,2,760,0,0.5,low,C_e_allowed
relative_vertical,T_relation_family,1512,1,1512,0,0.5,low,C_e_allowed
relative_vertical,T_subject_class,1512,13,500,0,0.5,low,C_e_allowed
relative_vertical,T_object_class,1512,13,500,0,0.5,low,C_e_allowed
relative_vertical,T_class_pair,1512,13,500,0,0.5,low,C_e_allowed
relative_vertical,T_predicate_class_pair,1512,22,250,0,0.5,low,C_e_allowed
relative_vertical,cv_group_id_metadata_only,1512,1026,2,540,0.678571,low,metadata_only
relative_vertical,source_artifact_metadata_only,1512,1,1512,0,0.5,low,metadata_only
size_relative,route_family,2400,1,2400,0,0.5,low,metadata_only
size_relative,predicate_label,2400,2,1200,0,0.5,low,metadata_only
size_relative,T_predicate,2400,2,1200,0,0.5,low,C_e_allowed
size_relative,T_relation_family,2400,1,2400,0,0.5,low,C_e_allowed
size_relative,T_subject_class,2400,1,2400,0,0.5,low,C_e_allowed
size_relative,T_object_class,2400,1,2400,0,0.5,low,C_e_allowed
size_relative,T_class_pair,2400,1,2400,0,0.5,low,C_e_allowed
size_relative,T_predicate_class_pair,2400,2,1200,0,0.5,low,C_e_allowed
size_relative,cv_group_id_metadata_only,2400,1200,2,0,0.5,low,metadata_only
size_relative,source_artifact_metadata_only,2400,1,2400,0,0.5,low,metadata_only
support_contact,route_family,640,1,640,0,0.5,low,metadata_only
support_contact,predicate_label,640,2,320,0,0.5,low,metadata_only
support_contact,T_predicate,640,2,320,0,0.5,low,C_e_allowed
support_contact,T_relation_family,640,1,640,0,0.5,low,C_e_allowed
support_contact,T_subject_class,640,7,261,0,0.514062,low,C_e_allowed
support_contact,T_object_class,640,7,474,0,0.503125,low,C_e_allowed
support_contact,T_class_pair,640,13,135,0,0.514062,low,C_e_allowed
support_contact,T_predicate_class_pair,640,26,71,0,0.684375,low,C_e_allowed
support_contact,cv_group_id_metadata_only,640,258,15,103,0.653125,low,metadata_only
support_contact,source_artifact_metadata_only,640,1,640,0,0.5,low,metadata_only
