level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,5,0.0625,0.028221095869761834,0.10577330508474576,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,5,0.03571428571428571,0.008608424446313432,0.0742227853822314,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,5,0.03571428571428571,0.008608424446313432,0.0742227853822314,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,5,0.008928571428571425,-0.03604659346846847,0.05859949448529411,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,5,0.06696428571428571,0.0322399011915141,0.11112459546925564,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,5,0.03125,-0.012197620951619356,0.07547566196289837,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,5,-0.60409057706355,-0.6286560116062335,-0.5814410040720689,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,5,-0.5734112490869248,-0.592474482642027,-0.5555109144683693,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,5,-0.5818115412710007,-0.6018991964937911,-0.5613575362697477,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,5,-0.5029218407596786,-0.5211833455076698,-0.4839298758217677,1000,548
