level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,5,2192,235,882,305,0.3458049886621315,10956,4.998175182481752,10956,2863,0.2613179992698065
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,10,2192,235,882,420,0.47619047619047616,21896,9.989051094890511,21896,6157,0.28119291194738766
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,20,2192,235,882,570,0.6462585034013606,43568,19.875912408759124,43568,14270,0.32753396988615496
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,50,2192,235,882,736,0.8344671201814059,105664,48.2043795620438,105664,45212,0.42788461538461536
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,100,2192,235,882,858,0.9727891156462585,194040,88.52189781021897,194040,94402,0.4865079365079365
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,5,2192,235,882,309,0.35034013605442177,10956,4.998175182481752,10956,3334,0.3043081416575392
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,10,2192,235,882,426,0.48299319727891155,21896,9.989051094890511,21896,6548,0.2990500548045305
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,20,2192,235,882,555,0.6292517006802721,43568,19.875912408759124,43568,14411,0.33077029012118986
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,50,2192,235,882,728,0.8253968253968254,105664,48.2043795620438,105664,43546,0.4121176559660812
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,100,2192,235,882,846,0.9591836734693877,194040,88.52189781021897,194040,96245,0.4960059781488353
primary_success_weighted,ALL,PRIMARY,C1_source_x_shuffled_Ce,5,2192,235,882,293,0.3321995464852608,10956,4.998175182481752,10956,3404,0.31069733479372036
primary_success_weighted,ALL,PRIMARY,C1_source_x_shuffled_Ce,10,2192,235,882,422,0.47845804988662133,21896,9.989051094890511,21896,7355,0.3359061015710632
primary_success_weighted,ALL,PRIMARY,C1_source_x_shuffled_Ce,20,2192,235,882,560,0.6349206349206349,43568,19.875912408759124,43568,16507,0.3788789937568858
primary_success_weighted,ALL,PRIMARY,C1_source_x_shuffled_Ce,50,2192,235,882,722,0.81859410430839,105664,48.2043795620438,105664,47371,0.4483173076923077
primary_success_weighted,ALL,PRIMARY,C1_source_x_shuffled_Ce,100,2192,235,882,843,0.95578231292517,194040,88.52189781021897,194040,94166,0.48529169243454956
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,5,2192,235,882,281,0.31859410430839,10956,4.998175182481752,10956,6880,0.6279664110989412
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,10,2192,235,882,388,0.4399092970521542,21896,9.989051094890511,21896,14195,0.6482919254658385
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,20,2192,235,882,460,0.5215419501133787,43568,19.875912408759124,43568,29857,0.6852965479250827
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,50,2192,235,882,589,0.6678004535147393,105664,48.2043795620438,105664,77278,0.7313559963658389
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,100,2192,235,882,812,0.9206349206349206,194040,88.52189781021897,194040,124249,0.6403267367553082
primary_success_weighted,ALL,PRIMARY,S0_source_score,5,2192,235,882,304,0.34467120181405897,10956,4.998175182481752,10956,3234,0.29518072289156627
primary_success_weighted,ALL,PRIMARY,S0_source_score,10,2192,235,882,416,0.47165532879818595,21896,9.989051094890511,21896,6617,0.3022013153087322
primary_success_weighted,ALL,PRIMARY,S0_source_score,20,2192,235,882,567,0.6428571428571429,43568,19.875912408759124,43568,14969,0.3435778553066471
primary_success_weighted,ALL,PRIMARY,S0_source_score,50,2192,235,882,749,0.8492063492063492,105664,48.2043795620438,105664,44928,0.4251968503937008
primary_success_weighted,ALL,PRIMARY,S0_source_score,100,2192,235,882,878,0.9954648526077098,194040,88.52189781021897,194040,94069,0.4847917955060812
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,5,2192,235,882,16,0.018140589569160998,10956,4.998175182481752,10956,9,0.0008214676889375684
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,10,2192,235,882,56,0.06349206349206349,21896,9.989051094890511,21896,111,0.005069419071976617
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,20,2192,235,882,188,0.21315192743764172,43568,19.875912408759124,43568,662,0.015194638266617702
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,50,2192,235,882,660,0.7482993197278912,105664,48.2043795620438,105664,8684,0.08218503937007875
primary_success_weighted,ALL,PRIMARY,S1_Ce_only,100,2192,235,882,882,1.0,194040,88.52189781021897,194040,66088,0.34058956916099775
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce,5,2192,235,882,311,0.3526077097505669,10956,4.998175182481752,10956,597,0.05449069003285871
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce,10,2192,235,882,453,0.5136054421768708,21896,9.989051094890511,21896,1584,0.07234198027036902
