level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K,source_family_rows
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,5,2192,235,882,305,0.3458049886621315,10956,4.998175182481752,10956,2863,0.2613179992698065,
all_weighted,ALL,ALL,A1_source_x_G_only,5,5480,2895,16970,4805,0.2831467295226871,27390,4.998175182481752,21910,5578,0.25458694659972614,
primary_success_macro,ALL,PRIMARY,A1_source_x_G_only,5,,,,,0.27764658748114635,,,,,0.26135785617932,4
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,10,2192,235,882,420,0.47619047619047616,21896,9.989051094890511,21896,6157,0.28119291194738766,
all_weighted,ALL,ALL,A1_source_x_G_only,10,5480,2895,16970,7123,0.41974071891573367,54696,9.98102189781022,43744,11959,0.27338606437454277,
primary_success_macro,ALL,PRIMARY,A1_source_x_G_only,10,,,,,0.38943490857881613,,,,,0.28129622114599073,4
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,20,2192,235,882,570,0.6462585034013606,43568,19.875912408759124,43568,14270,0.32753396988615496,
all_weighted,ALL,ALL,A1_source_x_G_only,20,5480,2895,16970,9512,0.5605185621685327,108816,19.856934306569343,86950,26625,0.3062104657849339,
primary_success_macro,ALL,PRIMARY,A1_source_x_G_only,20,,,,,0.5581835137901314,,,,,0.32800272171600287,4
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,50,2192,235,882,736,0.8344671201814059,105664,48.2043795620438,105664,45212,0.42788461538461536,
all_weighted,ALL,ALL,A1_source_x_G_only,50,5480,2895,16970,12519,0.737713612256924,262416,47.886131386861315,208498,78914,0.37848804305077266,
primary_success_macro,ALL,PRIMARY,A1_source_x_G_only,50,,,,,0.7803787861298366,,,,,0.4293685382282123,4
primary_success_weighted,ALL,PRIMARY,A1_source_x_G_only,100,2192,235,882,858,0.9727891156462585,194040,88.52189781021897,194040,94402,0.4865079365079365,
all_weighted,ALL,ALL,A1_source_x_G_only,100,5480,2895,16970,14434,0.8505598114319387,466366,85.10328467153285,363278,156228,0.43005081507825965,
primary_success_macro,ALL,PRIMARY,A1_source_x_G_only,100,,,,,0.9638857466063349,,,,,0.4881814569709974,4
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,5,2192,235,882,309,0.35034013605442177,10956,4.998175182481752,10956,3334,0.3043081416575392,
all_weighted,ALL,ALL,A2_source_x_TG_concat,5,5480,2895,16970,4585,0.27018267530936946,27390,4.998175182481752,21910,6397,0.2919671382930169,
primary_success_macro,ALL,PRIMARY,A2_source_x_TG_concat,5,,,,,0.2840306795795241,,,,,0.3043639664521495,4
primary_success_weighted,ALL,PRIMARY,A2_source_x_TG_concat,10,2192,235,882,426,0.48299319727891155,21896,9.989051094890511,21896,6548,0.2990500548045305,
all_weighted,ALL,ALL,A2_source_x_TG_concat,10,5480,2895,16970,6804,0.4009428403064231,54696,9.98102189781022,43744,12764,0.2917885881492319,
primary_success_macro,ALL,PRIMARY,A2_source_x_TG_concat,10,,,,,0.40749040000615633,,,,,0.29917706336535327,4
