level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
primary_success_weighted,ALL,PRIMARY,A1_minmax_no_route_G_only,5,2192,235,882,305,0.3458049886621315,10956,4.998175182481752,10956,2863,0.2613179992698065
all_weighted,ALL,ALL,A1_minmax_no_route_G_only,5,5480,2895,16970,4807,0.28326458456098996,27390,4.998175182481752,21910,5564,0.2539479689639434
primary_success_weighted,ALL,PRIMARY,A1_minmax_no_route_G_only,10,2192,235,882,420,0.47619047619047616,21896,9.989051094890511,21896,6157,0.28119291194738766
all_weighted,ALL,ALL,A1_minmax_no_route_G_only,10,5480,2895,16970,7128,0.4200353565114909,54696,9.98102189781022,43744,11921,0.27251737381126556
primary_success_weighted,ALL,PRIMARY,A1_minmax_no_route_G_only,20,2192,235,882,570,0.6462585034013606,43568,19.875912408759124,43568,14269,0.32751101726037457
all_weighted,ALL,ALL,A1_minmax_no_route_G_only,20,5480,2895,16970,9522,0.5611078373600471,108816,19.856934306569343,86950,26561,0.30547441058079355
primary_success_weighted,ALL,PRIMARY,A1_minmax_no_route_G_only,50,2192,235,882,736,0.8344671201814059,105664,48.2043795620438,105664,45212,0.42788461538461536
all_weighted,ALL,ALL,A1_minmax_no_route_G_only,50,5480,2895,16970,12514,0.7374189746611668,262416,47.886131386861315,208498,78847,0.3781666970426575
primary_success_weighted,ALL,PRIMARY,A1_minmax_no_route_G_only,100,2192,235,882,858,0.9727891156462585,194040,88.52189781021897,194040,94400,0.4864976293547722
all_weighted,ALL,ALL,A1_minmax_no_route_G_only,100,5480,2895,16970,14437,0.850736593989393,466366,85.10328467153285,363278,156199,0.4299709864071042
primary_success_weighted,ALL,PRIMARY,A1_minmax_route_G_only,5,2192,235,882,305,0.3458049886621315,10956,4.998175182481752,10956,2863,0.2613179992698065
all_weighted,ALL,ALL,A1_minmax_route_G_only,5,5480,2895,16970,4805,0.2831467295226871,27390,4.998175182481752,21910,5578,0.25458694659972614
primary_success_weighted,ALL,PRIMARY,A1_minmax_route_G_only,10,2192,235,882,420,0.47619047619047616,21896,9.989051094890511,21896,6157,0.28119291194738766
all_weighted,ALL,ALL,A1_minmax_route_G_only,10,5480,2895,16970,7123,0.41974071891573367,54696,9.98102189781022,43744,11959,0.27338606437454277
primary_success_weighted,ALL,PRIMARY,A1_minmax_route_G_only,20,2192,235,882,570,0.6462585034013606,43568,19.875912408759124,43568,14270,0.32753396988615496
all_weighted,ALL,ALL,A1_minmax_route_G_only,20,5480,2895,16970,9512,0.5605185621685327,108816,19.856934306569343,86950,26625,0.3062104657849339
primary_success_weighted,ALL,PRIMARY,A1_minmax_route_G_only,50,2192,235,882,736,0.8344671201814059,105664,48.2043795620438,105664,45212,0.42788461538461536
all_weighted,ALL,ALL,A1_minmax_route_G_only,50,5480,2895,16970,12519,0.737713612256924,262416,47.886131386861315,208498,78914,0.37848804305077266
