level,K,comparison,baseline_role,primary_Recall@K,baseline_Recall@K,delta_Recall@K,primary_Violation@K,baseline_Violation@K,delta_Violation@K
primary_success_weighted,5,S2_minmax_source_x_Ce_minus_S2_rankpct_source_x_Ce,normalization_sensitivity_rank_percentile,0.3526077097505669,0.2233560090702948,0.12925170068027209,0.05449069003285871,0.007758305951077036,0.046732384081781674
primary_success_weighted,5,S2_minmax_source_x_Ce_minus_S2_raw_source_x_Ce,normalization_sensitivity_raw_product,0.3526077097505669,0.35147392290249435,0.0011337868480725266,0.05449069003285871,0.05430814165753925,0.00018254837531946067
primary_success_weighted,5,S2_minmax_source_x_Ce_minus_A1_minmax_route_G_only,route_aware_geometry_only,0.3526077097505669,0.3458049886621315,0.006802721088435382,0.05449069003285871,0.2613179992698065,-0.20682730923694775
primary_success_weighted,5,S2_minmax_source_x_Ce_minus_A1_minmax_no_route_G_only,no_route_geometry_only,0.3526077097505669,0.3458049886621315,0.006802721088435382,0.05449069003285871,0.2613179992698065,-0.20682730923694775
primary_success_weighted,5,S2_minmax_source_x_Ce_minus_A2_minmax_TG_concat,plain_concat,0.3526077097505669,0.35034013605442177,0.0022675736961451087,0.05449069003285871,0.3043081416575392,-0.2498174516246805
primary_success_weighted,5,S2_minmax_source_x_Ce_minus_S0_source_score_minmax,source_baseline,0.3526077097505669,0.34467120181405897,0.007936507936507908,0.05449069003285871,0.29518072289156627,-0.24069003285870755
primary_success_weighted,10,S2_minmax_source_x_Ce_minus_S2_rankpct_source_x_Ce,normalization_sensitivity_rank_percentile,0.5136054421768708,0.3866213151927438,0.12698412698412698,0.07234198027036902,0.025758129338692,0.04658385093167702
primary_success_weighted,10,S2_minmax_source_x_Ce_minus_S2_raw_source_x_Ce,normalization_sensitivity_raw_product,0.5136054421768708,0.4988662131519274,0.014739229024943346,0.07234198027036902,0.0712458896602119,0.0010960906101571133
primary_success_weighted,10,S2_minmax_source_x_Ce_minus_A1_minmax_route_G_only,route_aware_geometry_only,0.5136054421768708,0.47619047619047616,0.0374149659863946,0.07234198027036902,0.28119291194738766,-0.20885093167701863
primary_success_weighted,10,S2_minmax_source_x_Ce_minus_A1_minmax_no_route_G_only,no_route_geometry_only,0.5136054421768708,0.47619047619047616,0.0374149659863946,0.07234198027036902,0.28119291194738766,-0.20885093167701863
primary_success_weighted,10,S2_minmax_source_x_Ce_minus_A2_minmax_TG_concat,plain_concat,0.5136054421768708,0.48299319727891155,0.030612244897959218,0.07234198027036902,0.2990500548045305,-0.22670807453416147
primary_success_weighted,10,S2_minmax_source_x_Ce_minus_S0_source_score_minmax,source_baseline,0.5136054421768708,0.47165532879818595,0.04195011337868482,0.07234198027036902,0.3022013153087322,-0.22985933503836314
primary_success_weighted,20,S2_minmax_source_x_Ce_minus_S2_rankpct_source_x_Ce,normalization_sensitivity_rank_percentile,0.7244897959183674,0.6405895691609977,0.08390022675736963,0.10048659566654425,0.07331068674256334,0.027175908923980904
primary_success_weighted,20,S2_minmax_source_x_Ce_minus_S2_raw_source_x_Ce,normalization_sensitivity_raw_product,0.7244897959183674,0.6984126984126984,0.026077097505669,0.10048659566654425,0.09764047006977598,0.0028461255967682647
primary_success_weighted,20,S2_minmax_source_x_Ce_minus_A1_minmax_route_G_only,route_aware_geometry_only,0.7244897959183674,0.6462585034013606,0.07823129251700678,0.10048659566654425,0.32753396988615496,-0.22704737421961071
primary_success_weighted,20,S2_minmax_source_x_Ce_minus_A1_minmax_no_route_G_only,no_route_geometry_only,0.7244897959183674,0.6462585034013606,0.07823129251700678,0.10048659566654425,0.32751101726037457,-0.22702442159383032
primary_success_weighted,20,S2_minmax_source_x_Ce_minus_A2_minmax_TG_concat,plain_concat,0.7244897959183674,0.6292517006802721,0.09523809523809523,0.10048659566654425,0.33077029012118986,-0.2302836944546456
primary_success_weighted,20,S2_minmax_source_x_Ce_minus_S0_source_score_minmax,source_baseline,0.7244897959183674,0.6428571428571429,0.08163265306122447,0.10048659566654425,0.3435778553066471,-0.24309125964010284
primary_success_weighted,50,S2_minmax_source_x_Ce_minus_S2_rankpct_source_x_Ce,normalization_sensitivity_rank_percentile,0.9523809523809523,0.9285714285714286,0.023809523809523725,0.16599788007268323,0.24088620533010296,-0.07488832525741973
primary_success_weighted,50,S2_minmax_source_x_Ce_minus_S2_raw_source_x_Ce,normalization_sensitivity_raw_product,0.9523809523809523,0.9421768707482994,0.010204081632652962,0.16599788007268323,0.1593825711689885,0.006615308903694744
primary_success_weighted,50,S2_minmax_source_x_Ce_minus_A1_minmax_route_G_only,route_aware_geometry_only,0.9523809523809523,0.8344671201814059,0.11791383219954643,0.16599788007268323,0.42788461538461536,-0.26188673531193213
primary_success_weighted,50,S2_minmax_source_x_Ce_minus_A1_minmax_no_route_G_only,no_route_geometry_only,0.9523809523809523,0.8344671201814059,0.11791383219954643,0.16599788007268323,0.42788461538461536,-0.26188673531193213
primary_success_weighted,50,S2_minmax_source_x_Ce_minus_A2_minmax_TG_concat,plain_concat,0.9523809523809523,0.8253968253968254,0.12698412698412698,0.16599788007268323,0.4121176559660812,-0.24611977589339795
primary_success_weighted,50,S2_minmax_source_x_Ce_minus_S0_source_score_minmax,source_baseline,0.9523809523809523,0.8492063492063492,0.10317460317460314,0.16599788007268323,0.4251968503937008,-0.2591989703210176
primary_success_weighted,100,S2_minmax_source_x_Ce_minus_S2_rankpct_source_x_Ce,normalization_sensitivity_rank_percentile,1.0,0.9988662131519275,0.0011337868480725266,0.3419191919191919,0.40255102040816326,-0.06063182848897136
primary_success_weighted,100,S2_minmax_source_x_Ce_minus_S2_raw_source_x_Ce,normalization_sensitivity_raw_product,1.0,1.0,0.0,0.3419191919191919,0.3417851989280561,0.00013399299113581176
primary_success_weighted,100,S2_minmax_source_x_Ce_minus_A1_minmax_route_G_only,route_aware_geometry_only,1.0,0.9727891156462585,0.027210884353741527,0.3419191919191919,0.4865079365079365,-0.1445887445887446
primary_success_weighted,100,S2_minmax_source_x_Ce_minus_A1_minmax_no_route_G_only,no_route_geometry_only,1.0,0.9727891156462585,0.027210884353741527,0.3419191919191919,0.4864976293547722,-0.1445784374355803
primary_success_weighted,100,S2_minmax_source_x_Ce_minus_A2_minmax_TG_concat,plain_concat,1.0,0.9591836734693877,0.04081632653061229,0.3419191919191919,0.4960059781488353,-0.1540867862296434
primary_success_weighted,100,S2_minmax_source_x_Ce_minus_S0_source_score_minmax,source_baseline,1.0,0.9954648526077098,0.0045351473922902175,0.3419191919191919,0.4847917955060812,-0.1428726035868893
