feature,present_rows,total_rows,present_rate
aabb_intersection_volume_proxy,3178,3178,1.0
abs_surface_gap_subject_bottom_to_object_top,3178,3178,1.0
center_delta_z,3178,3178,1.0
contact_band_width,3178,3178,1.0
contact_patch_ratio_proxy,3178,3178,1.0
local_contact_point_count,3178,3178,1.0
local_contact_point_density,3178,3178,1.0
normal_alignment_abs,3178,3178,1.0
object_flatness_ratio,3178,3178,1.0
object_footprint_area,3178,3178,1.0
object_height,3178,3178,1.0
object_horizontal_extent_ratio,3178,3178,1.0
object_minor_axis_upness,3178,3178,1.0
object_near_subject_bottom_point_count,3178,3178,1.0
object_near_subject_bottom_point_ratio,3178,3178,1.0
object_normal_upness,3178,3178,1.0
object_principal_axis_upness,3178,3178,1.0
object_vertical_extent_ratio,3178,3178,1.0
point_object_count,3178,3178,1.0
point_pair_min_count,3178,3178,1.0
point_pair_total_count,3178,3178,1.0
point_subject_count,3178,3178,1.0
subject_flatness_ratio,3178,3178,1.0
subject_footprint_area,3178,3178,1.0
subject_height,3178,3178,1.0
subject_horizontal_extent_ratio,3178,3178,1.0
subject_minor_axis_upness,3178,3178,1.0
subject_near_object_top_point_count,3178,3178,1.0
subject_near_object_top_point_ratio,3178,3178,1.0
subject_normal_upness,3178,3178,1.0
subject_principal_axis_upness,3178,3178,1.0
subject_vertical_extent_ratio,3178,3178,1.0
support_contact_likelihood_proxy,3178,3178,1.0
support_surface_normal_upness,3178,3178,1.0
surface_alignment_abs,3178,3178,1.0
surface_gap_subject_bottom_to_object_top,3178,3178,1.0
vertical_overlap_ratio,3178,3178,1.0
xy_center_distance,3178,3178,1.0
xy_overlap_area,3178,3178,1.0
xy_overlap_max_ratio,3178,3178,1.0
xy_overlap_min_ratio,3178,3178,1.0
xy_overlap_object_ratio,3178,3178,1.0
xy_overlap_subject_ratio,3178,3178,1.0
