probe,value,rows,accept,reject,abstain,relabel_standing_on,relabel_lying_on,binary_accept,binary_reject,majority_label,majority_rate
predicate_label,lying on,192,15,141,35,0,0,15,141,reject,0.734375
predicate_label,standing on,192,18,148,26,0,0,18,148,reject,0.770833
predicate_label,supported by,96,2,58,24,8,4,2,58,reject,0.604167
class_pair,cabinet->floor,20,6,9,4,1,0,6,9,reject,0.45
class_pair,cabinet->wall,20,0,18,2,0,0,0,18,reject,0.9
class_pair,chair->floor,20,6,7,4,3,0,6,7,reject,0.35
class_pair,chair->wall,20,0,20,0,0,0,0,20,reject,1.0
class_pair,curtain->wall,20,0,17,3,0,0,0,17,reject,0.85
class_pair,cushion->floor,20,5,5,8,0,2,5,5,abstain,0.4
class_pair,door->wall,20,0,20,0,0,0,0,20,reject,1.0
class_pair,doorframe->wall,20,0,19,1,0,0,0,19,reject,0.95
class_pair,floor->wall,20,0,20,0,0,0,0,20,reject,1.0
class_pair,lamp->wall,20,0,11,9,0,0,0,11,reject,0.55
class_pair,picture->picture,20,0,14,5,0,0,0,14,reject,0.7
class_pair,pillow->floor,20,2,10,7,0,1,2,10,reject,0.5
class_pair,pillow->pillow,20,1,11,8,0,0,1,11,reject,0.55
class_pair,pillow->wall,20,0,20,0,0,0,0,20,reject,1.0
class_pair,plant->floor,20,4,10,6,0,0,4,10,reject,0.5
class_pair,plant->wall,20,0,16,4,0,0,0,16,reject,0.8
class_pair,shelf->wall,20,0,14,6,0,0,0,14,reject,0.7
class_pair,sink->floor,20,5,12,1,1,1,5,12,reject,0.6
class_pair,sink->wall,20,0,14,6,0,0,0,14,reject,0.7
class_pair,wall->curtain,20,0,19,1,0,0,0,19,reject,0.95
class_pair,wall->door,20,0,20,0,0,0,0,20,reject,1.0
class_pair,wall->floor,20,6,6,5,3,0,6,6,accept,0.3
class_pair,wall->shelf,20,0,16,4,0,0,0,16,reject,0.8
class_pair,wall->wall,20,0,19,1,0,0,0,19,reject,0.95
predicate_x_class_pair,lying on::cabinet->floor,8,3,4,1,0,0,3,4,reject,0.5
predicate_x_class_pair,lying on::cabinet->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::chair->floor,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,lying on::chair->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::curtain->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::cushion->floor,8,4,1,3,0,0,4,1,accept,0.5
predicate_x_class_pair,lying on::door->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::doorframe->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::floor->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::lamp->wall,8,0,2,6,0,0,0,2,abstain,0.75
predicate_x_class_pair,lying on::picture->picture,8,0,6,1,0,0,0,6,reject,0.75
predicate_x_class_pair,lying on::pillow->floor,8,2,4,2,0,0,2,4,reject,0.5
predicate_x_class_pair,lying on::pillow->pillow,8,1,2,5,0,0,1,2,abstain,0.625
predicate_x_class_pair,lying on::pillow->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::plant->floor,8,1,6,1,0,0,1,6,reject,0.75
predicate_x_class_pair,lying on::plant->wall,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,lying on::shelf->wall,8,0,3,5,0,0,0,3,abstain,0.625
predicate_x_class_pair,lying on::sink->floor,8,3,4,1,0,0,3,4,reject,0.5
predicate_x_class_pair,lying on::sink->wall,8,0,5,3,0,0,0,5,reject,0.625
predicate_x_class_pair,lying on::wall->curtain,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::wall->door,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,lying on::wall->floor,8,1,5,2,0,0,1,5,reject,0.625
predicate_x_class_pair,lying on::wall->shelf,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,lying on::wall->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::cabinet->floor,8,3,4,1,0,0,3,4,reject,0.5
predicate_x_class_pair,standing on::cabinet->wall,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,standing on::chair->floor,8,6,1,1,0,0,6,1,accept,0.75
predicate_x_class_pair,standing on::chair->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::curtain->wall,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,standing on::cushion->floor,8,0,4,4,0,0,0,4,abstain,0.5
predicate_x_class_pair,standing on::door->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::doorframe->wall,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,standing on::floor->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::lamp->wall,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,standing on::picture->picture,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,standing on::pillow->floor,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,standing on::pillow->pillow,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::pillow->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::plant->floor,8,3,3,2,0,0,3,3,accept,0.375
predicate_x_class_pair,standing on::plant->wall,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,standing on::shelf->wall,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::sink->floor,8,1,7,0,0,0,1,7,reject,0.875
predicate_x_class_pair,standing on::sink->wall,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,standing on::wall->curtain,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,standing on::wall->door,8,0,8,0,0,0,0,8,reject,1.0
predicate_x_class_pair,standing on::wall->floor,8,5,1,2,0,0,5,1,accept,0.625
predicate_x_class_pair,standing on::wall->shelf,8,0,6,2,0,0,0,6,reject,0.75
predicate_x_class_pair,standing on::wall->wall,8,0,7,1,0,0,0,7,reject,0.875
predicate_x_class_pair,supported by::cabinet->floor,4,0,1,2,1,0,0,1,abstain,0.5
predicate_x_class_pair,supported by::cabinet->wall,4,0,4,0,0,0,0,4,reject,1.0
