target,probe,category,rows,majority_baseline,group_majority_accuracy,group_macro_recall,group_positive_recall,leave_one_out_accuracy,leave_one_out_macro_recall,leave_one_out_positive_recall,delta_vs_baseline,groups,max_group_rows,mixed_groups,pure_groups,singleton_groups,risk,blocks_metric_rerun
multiclass,predicate_label,route_metadata,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,3,192,3,0,0,low,False
multiclass,subject_class_label,route_metadata,480,0.722917,0.729167,0.179951,0.0,0.729167,0.179951,0.0,0.00625,14,100,12,2,0,low,False
multiclass,object_class_label,route_metadata,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,7,240,6,1,0,low,False
multiclass,class_pair,route_metadata,480,0.722917,0.729167,0.205641,0.171429,0.702083,0.173707,0.0,-0.020834,24,20,19,5,0,low,False
multiclass,predicate_x_class_pair,route_metadata,480,0.722917,0.8,0.525057,0.542857,0.733333,0.378257,0.314286,0.010416,72,8,46,26,0,low,False
multiclass,source_id,route_metadata,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,2,241,2,0,0,low,False
multiclass,source_score_bin,source_confidence,480,0.722917,0.735417,0.195238,0.171429,0.73125,0.194277,0.171429,0.008333,5,225,4,1,0,low,False
multiclass,selection_rank_bin,source_confidence,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,4,288,4,0,0,low,False
multiclass,source_x_predicate,route_metadata,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,6,98,6,0,0,low,False
multiclass,token_tier,route_metadata,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,5,147,5,0,0,low,False
multiclass,queue_role,route_metadata,480,0.722917,0.729167,0.196237,0.0,0.697917,0.166825,0.0,-0.025,8,134,8,0,0,low,False
multiclass,predicate_x_token_tier,route_metadata,480,0.722917,0.7375,0.199638,0.0,0.708333,0.188473,0.0,-0.014584,15,74,15,0,0,low,False
multiclass,predicate_x_queue_role,route_metadata,480,0.722917,0.735417,0.191756,0.0,0.7125,0.186472,0.0,-0.010417,13,74,13,0,0,low,False
multiclass,class_pair_x_token_tier,route_metadata,480,0.722917,0.797917,0.421705,0.542857,0.68125,0.255975,0.314286,-0.041667,120,8,64,56,17,low,False
multiclass,endpoint_id,endpoint_memorization,480,0.722917,1.0,1.0,1.0,0.722917,0.166667,0.0,-0.0,480,1,0,480,480,high,True
multiclass,scan_id,endpoint_memorization,480,0.722917,0.766667,0.312571,0.2,0.622917,0.180304,0.057143,-0.1,140,10,77,63,19,low,False
multiclass,primary_evidence_reason,label_derived_control,480,0.722917,0.991667,0.833333,1.0,0.989583,0.666667,1.0,0.266666,8,193,1,7,1,label_derived_control,False
multiclass,reviewer_confidence,label_derived_control,480,0.722917,0.9,0.333333,0.0,0.9,0.333333,0.0,0.177083,3,282,3,0,0,label_derived_control,False
multiclass,geometry_gap_bin,geometry_construction,480,0.722917,0.7375,0.237693,0.342857,0.7375,0.237693,0.342857,0.014583,5,247,5,0,0,low,False
multiclass,geometry_overlap_bin,geometry_construction,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,4,292,3,1,0,low,False
multiclass,geometry_pose_bin,geometry_construction,480,0.722917,0.722917,0.166667,0.0,0.722917,0.166667,0.0,-0.0,3,246,3,0,0,low,False
multiclass,geometry_rule_state,geometry_construction,480,0.722917,0.997917,0.833333,1.0,0.997917,0.833333,1.0,0.275,13,193,1,12,0,high,True
multiclass,geometry_core_signature,geometry_construction,480,0.722917,0.983333,0.987435,0.971429,0.83125,0.461159,0.485714,0.108333,207,21,7,200,131,high,True
binary,predicate_label,route_metadata,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,3,166,3,0,0,low,False
binary,subject_class_label,route_metadata,382,0.908377,0.908377,0.5,0.0,0.895288,0.492795,0.0,-0.013089,14,86,7,7,0,low,False
binary,object_class_label,route_metadata,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,7,208,2,5,0,low,False
binary,class_pair,route_metadata,382,0.908377,0.908377,0.5,0.0,0.879581,0.48415,0.0,-0.028796,24,20,8,16,0,low,False
binary,predicate_x_class_pair,route_metadata,382,0.908377,0.942408,0.724249,0.457143,0.929319,0.704199,0.428571,0.020942,69,8,13,56,4,high,True
binary,source_id,route_metadata,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,2,195,2,0,0,low,False
binary,source_score_bin,source_confidence,382,0.908377,0.924084,0.585714,0.171429,0.924084,0.585714,0.171429,0.015707,5,177,3,2,0,low,False
binary,selection_rank_bin,source_confidence,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,4,216,4,0,0,low,False
binary,source_x_predicate,route_metadata,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,6,85,6,0,0,low,False
binary,token_tier,route_metadata,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,5,123,5,0,0,low,False
binary,queue_role,route_metadata,382,0.908377,0.908377,0.5,0.0,0.905759,0.498559,0.0,-0.002618,8,120,7,1,0,low,False
binary,predicate_x_token_tier,route_metadata,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,15,66,11,4,0,low,False
binary,predicate_x_queue_role,route_metadata,382,0.908377,0.908377,0.5,0.0,0.905759,0.498559,0.0,-0.002618,13,66,11,2,0,low,False
binary,class_pair_x_token_tier,route_metadata,382,0.908377,0.945026,0.802758,0.628571,0.884817,0.576945,0.2,-0.02356,118,8,20,98,26,high,True
