candidate_id,cv_or_group_key,class_pair,predicate_label,original_C_e,repair_role,support_score_proxy,upright_score_proxy,lying_score_proxy,pose_proxy_state
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->3::support_contact::6::lying_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->3::support_contact,cushion->couch,lying on,1,abstain_single_subtype_class_pair,0.346164,0.308398,0.710814,weak_support_evidence
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->3::support_contact::6::standing_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::10->3::support_contact,cushion->couch,standing on,0,abstain_single_subtype_class_pair,0.346164,0.308398,0.710814,weak_support_evidence
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->1::support_contact::0::standing_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->1::support_contact,couch->floor,standing on,1,abstain_single_subtype_class_pair,0.664382,0.471248,0.503527,ambiguous_pose
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->1::support_contact::0::lying_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::2->1::support_contact,couch->floor,lying on,0,abstain_single_subtype_class_pair,0.664382,0.471248,0.503527,ambiguous_pose
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::3->1::support_contact::1::standing_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::3->1::support_contact,couch->floor,standing on,1,abstain_single_subtype_class_pair,0.743169,0.348663,0.635165,horizontal_like
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::3->1::support_contact::1::lying_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::3->1::support_contact,couch->floor,lying on,0,abstain_single_subtype_class_pair,0.743169,0.348663,0.635165,horizontal_like
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::4->1::support_contact::2::standing_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::4->1::support_contact,armchair->floor,standing on,1,abstain_single_subtype_class_pair,0.604553,0.638678,0.362666,upright_like
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::4->1::support_contact::2::lying_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::4->1::support_contact,armchair->floor,lying on,0,abstain_single_subtype_class_pair,0.604553,0.638678,0.362666,upright_like
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::6->1::support_contact::3::standing_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::6->1::support_contact,ottoman->floor,standing on,1,abstain_single_subtype_class_pair,0.806196,0.540916,0.44317,ambiguous_pose
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::6->1::support_contact::3::lying_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::6->1::support_contact,ottoman->floor,lying on,0,abstain_single_subtype_class_pair,0.806196,0.540916,0.44317,ambiguous_pose
